# Assembly Statistics Report
# Assembly name:  ASM2053659v1
# Organism name:  Camellia sinensis (black tea)
# Infraspecific name:  cultivar=TRF-4
# Taxid:          4442
# BioSample:      SAMN19222205
# BioProject:     PRJNA730185
# Submitter:      UPASI Tea Research Institute
# Date:           2021-10-21
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JAHQJX01
# Assembly method: SPAdes v. 3.12.0
# Expected final version: no
# Reference guided assembly: GCA_017311205.1
# Genome coverage: 110.0x
# Sequencing technology: Illumina HiSeq
# GenBank assembly accession: GCA_020536595.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_020536605.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	3062747348
all	all	all	all	spanned-gaps	4007
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	163
all	all	all	all	scaffold-N50	213457662
all	all	all	all	scaffold-L50	7
all	all	all	all	scaffold-N75	170682586
all	all	all	all	scaffold-N90	141157096
all	all	all	all	contig-count	4170
all	all	all	all	contig-N50	1887391
all	all	all	all	contig-L50	461
all	all	all	all	total-gap-length	1976164
all	all	all	all	molecule-count	15
all	all	all	all	top-level-count	163
all	all	all	all	component-count	163
all	all	all	all	gc-perc	38.5
Primary Assembly	all	all	all	total-length	3062747348
Primary Assembly	all	all	all	ungapped-length	3060771184
Primary Assembly	all	all	all	scaffold-count	163
Primary Assembly	all	all	all	scaffold-N50	213457662
Primary Assembly	all	all	all	spanned-gaps	4007
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	38.5
Primary Assembly	all	all	assembled-molecule	total-length	3031018785
Primary Assembly	all	all	assembled-molecule	ungapped-length	3029042621
Primary Assembly	all	all	assembled-molecule	scaffold-count	15
Primary Assembly	all	all	assembled-molecule	scaffold-N50	213457662
Primary Assembly	all	all	assembled-molecule	spanned-gaps	4007
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	38.5
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	31728563
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	31728563
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	148
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	365782
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	41
