# Assembly Statistics Report
# Assembly name:  ASM224695v1
# Organism name:  Trichoderma koningiopsis (ascomycete fungi)
# Infraspecific name:  strain=POS7
# Taxid:          337941
# BioSample:      SAMN06106985
# BioProject:     PRJNA356137
# Submitter:      INBIOMIS
# Date:           2017-08-11
# Assembly type:  haploid
# Release type:   major
# Assembly level: Scaffold
# Genome representation: full
# WGS project:    MRBD01
# Assembly method: SOAPdenovo v. 2
# Expected final version: yes
# Genome coverage: 22.0x
# Sequencing technology: Illumina MiSeq
# GenBank assembly accession: GCA_002246955.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_002246985.1		Primary Assembly
## GCA_002246995.1		non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	36580823
all	all	all	all	spanned-gaps	495
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	147
all	all	all	all	scaffold-N50	1749579
all	all	all	all	scaffold-L50	7
all	all	all	all	scaffold-N75	1229356
all	all	all	all	scaffold-N90	772234
all	all	all	all	contig-count	642
all	all	all	all	contig-N50	148345
all	all	all	all	contig-L50	74
all	all	all	all	total-gap-length	51587
all	all	all	all	molecule-count	1
all	all	all	all	top-level-count	147
all	all	all	all	component-count	147
all	all	all	all	gc-perc	49
Primary Assembly	all	all	all	total-length	36576571
Primary Assembly	all	all	all	ungapped-length	36524984
Primary Assembly	all	all	all	scaffold-count	139
Primary Assembly	all	all	all	scaffold-N50	1749579
Primary Assembly	all	all	all	spanned-gaps	495
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	49
Primary Assembly	all	all	assembled-molecule	total-length	0
Primary Assembly	all	all	assembled-molecule	ungapped-length	0
Primary Assembly	all	all	assembled-molecule	scaffold-count	0
Primary Assembly	all	all	assembled-molecule	scaffold-N50	0
Primary Assembly	all	all	assembled-molecule	spanned-gaps	0
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	36576571
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	36524984
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	139
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	1749579
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	495
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	49
non-nuclear	all	all	all	total-length	4252
non-nuclear	all	all	all	ungapped-length	4252
non-nuclear	all	all	all	scaffold-count	8
