# Assembly Statistics Report
# Assembly name:  ilPsePras1.1
# Organism name:  Pseudoips prasinana (moths)
# Taxid:          2758353
# BioSample:      SAMEA7631558
# BioProject:     PRJEB62203
# Submitter:      WELLCOME SANGER INSTITUTE
# Date:           2023-05-18
# Assembly type:  haploid (principal pseudohaplotype of diploid)
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    CATOCT01
# Assembly method: various
# Genome coverage: 33x
# Sequencing technology: PacBio,Arima2
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_951640165.1
# Linked assembly: GCA_951640185.1 (alternate pseudohaplotype of diploid)
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_951640164.1		Primary Assembly
## GCA_951640166.1		non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	1125692588
all	all	all	all	spanned-gaps	49
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	56
all	all	all	all	scaffold-N50	36985250
all	all	all	all	scaffold-L50	14
all	all	all	all	scaffold-N75	33244017
all	all	all	all	scaffold-N90	26292167
all	all	all	all	contig-count	105
all	all	all	all	contig-N50	25062394
all	all	all	all	contig-L50	17
all	all	all	all	total-gap-length	9800
all	all	all	all	molecule-count	34
all	all	all	all	top-level-count	56
all	all	all	all	component-count	56
all	all	all	all	gc-perc	37
Primary Assembly	all	all	all	total-length	1125677353
Primary Assembly	all	all	all	ungapped-length	1125667553
Primary Assembly	all	all	all	scaffold-count	55
Primary Assembly	all	all	all	scaffold-N50	36985250
Primary Assembly	all	all	all	spanned-gaps	49
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	37
Primary Assembly	all	all	assembled-molecule	total-length	1124410666
Primary Assembly	all	all	assembled-molecule	ungapped-length	1124400866
Primary Assembly	all	all	assembled-molecule	scaffold-count	33
Primary Assembly	all	all	assembled-molecule	scaffold-N50	36985250
Primary Assembly	all	all	assembled-molecule	spanned-gaps	49
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	37
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	1266687
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	1266687
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	22
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	61895
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	48.5
Primary Assembly	1	Chromosome	all	total-length	43695640
Primary Assembly	1	Chromosome	all	ungapped-length	43694840
Primary Assembly	1	Chromosome	all	scaffold-count	1
Primary Assembly	1	Chromosome	all	scaffold-N50	43695640
Primary Assembly	1	Chromosome	all	spanned-gaps	4
Primary Assembly	1	Chromosome	all	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	gc-perc	36.5
Primary Assembly	1	Chromosome	assembled-molecule	total-length	43695640
Primary Assembly	1	Chromosome	assembled-molecule	ungapped-length	43694840
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-N50	43695640
Primary Assembly	1	Chromosome	assembled-molecule	spanned-gaps	4
Primary Assembly	1	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	1	Chromosome	assembled-molecule	gc-perc	36.5
Primary Assembly	1	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	2	Chromosome	all	total-length	42295931
Primary Assembly	2	Chromosome	all	ungapped-length	42295731
Primary Assembly	2	Chromosome	all	scaffold-count	1
