# Assembly Statistics Report
# Assembly name:  idDioGlab1.1
# Organism name:  Diogma glabrata (flies)
# Taxid:          2715158
# BioSample:      SAMEA112232520
# BioProject:     PRJEB70789
# Submitter:      WELLCOME SANGER INSTITUTE
# Date:           2023-12-11
# Assembly type:  haploid (principal pseudohaplotype of diploid)
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    CAVNZG01
# Assembly method: various
# Genome coverage: 18x
# Sequencing technology: PacBio,Arima2
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_963693315.1
# Linked assembly: GCA_963693295.1 (alternate pseudohaplotype of diploid)
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_963693314.1		Primary Assembly
## GCA_963693316.1		non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	1328699808
all	all	all	all	spanned-gaps	6283
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	1868
all	all	all	all	scaffold-N50	427865198
all	all	all	all	scaffold-L50	2
all	all	all	all	scaffold-N75	290091318
all	all	all	all	scaffold-N90	24206716
all	all	all	all	contig-count	8151
all	all	all	all	contig-N50	282781
all	all	all	all	contig-L50	1336
all	all	all	all	total-gap-length	1256432
all	all	all	all	molecule-count	5
all	all	all	all	top-level-count	1868
all	all	all	all	component-count	1868
all	all	all	all	gc-perc	30.5
Primary Assembly	all	all	all	total-length	1328682309
Primary Assembly	all	all	all	ungapped-length	1327425877
Primary Assembly	all	all	all	scaffold-count	1867
Primary Assembly	all	all	all	scaffold-N50	427865198
Primary Assembly	all	all	all	spanned-gaps	6283
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	30.5
Primary Assembly	all	all	assembled-molecule	total-length	1204071576
Primary Assembly	all	all	assembled-molecule	ungapped-length	1202878344
Primary Assembly	all	all	assembled-molecule	scaffold-count	4
Primary Assembly	all	all	assembled-molecule	scaffold-N50	427865198
Primary Assembly	all	all	assembled-molecule	spanned-gaps	5967
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	30.5
Primary Assembly	all	all	unlocalized-scaffold	total-length	1063367
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	1061367
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	1
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	1063367
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	10
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	gc-perc	32
Primary Assembly	na	na	unplaced-scaffold	total-length	123547366
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	123486166
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	1862
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	101110
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	306
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
