# Assembly Statistics Report
# Assembly name:  IGA_Cara_2.4
# Organism name:  Coffea arabica (coffee)
# Infraspecific name:  cultivar=Red Bourbon
# Isolate:  ID1545
# Taxid:          13443
# BioSample:      SAMN33898536
# BioProject:     PRJNA944143
# Submitter:      IGA Technology Services Srl
# Date:           2023-08-25
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JARPVW01
# Assembly method: Canu v. 2.0
# Expected final version: yes
# Genome coverage: 93.0x
# Sequencing technology: Oxford Nanopore PromethION
# GenBank assembly accession: GCA_030873655.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_030873685.1		Primary Assembly
## GCA_030873695.1		non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	1316577614
all	all	all	all	spanned-gaps	197
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	1750
all	all	all	all	scaffold-N50	47362295
all	all	all	all	scaffold-L50	12
all	all	all	all	scaffold-N75	39944450
all	all	all	all	scaffold-N90	138087
all	all	all	all	contig-count	1947
all	all	all	all	contig-N50	9716028
all	all	all	all	contig-L50	39
all	all	all	all	total-gap-length	98501
all	all	all	all	molecule-count	23
all	all	all	all	top-level-count	1750
all	all	all	all	component-count	1750
all	all	all	all	gc-perc	37
Primary Assembly	all	all	all	total-length	1316423627
Primary Assembly	all	all	all	ungapped-length	1316325126
Primary Assembly	all	all	all	scaffold-count	1749
Primary Assembly	all	all	all	scaffold-N50	47362295
Primary Assembly	all	all	all	spanned-gaps	197
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	37
Primary Assembly	all	all	assembled-molecule	total-length	1098789244
Primary Assembly	all	all	assembled-molecule	ungapped-length	1098712743
Primary Assembly	all	all	assembled-molecule	scaffold-count	22
Primary Assembly	all	all	assembled-molecule	scaffold-N50	48524476
Primary Assembly	all	all	assembled-molecule	spanned-gaps	153
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	37
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	217634383
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	217612383
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	1727
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	124344
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	44
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	39
Primary Assembly	1c	Chromosome	all	total-length	59282136
Primary Assembly	1c	Chromosome	all	ungapped-length	59274136
Primary Assembly	1c	Chromosome	all	scaffold-count	1
Primary Assembly	1c	Chromosome	all	scaffold-N50	59282136
Primary Assembly	1c	Chromosome	all	spanned-gaps	16
Primary Assembly	1c	Chromosome	all	unspanned-gaps	0
Primary Assembly	1c	Chromosome	all	gc-perc	37.5
Primary Assembly	1c	Chromosome	assembled-molecule	total-length	59282136
Primary Assembly	1c	Chromosome	assembled-molecule	ungapped-length	59274136
Primary Assembly	1c	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	1c	Chromosome	assembled-molecule	scaffold-N50	59282136
Primary Assembly	1c	Chromosome	assembled-molecule	spanned-gaps	16
Primary Assembly	1c	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	1c	Chromosome	assembled-molecule	gc-perc	37.5
Primary Assembly	1c	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1c	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1c	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	1c	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	1c	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	1c	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	1e	Chromosome	all	total-length	52005836
Primary Assembly	1e	Chromosome	all	ungapped-length	52000337
Primary Assembly	1e	Chromosome	all	scaffold-count	1
Primary Assembly	1e	Chromosome	all	scaffold-N50	52005836
Primary Assembly	1e	Chromosome	all	spanned-gaps	11
Primary Assembly	1e	Chromosome	all	unspanned-gaps	0
Primary Assembly	1e	Chromosome	all	gc-perc	36.5
Primary Assembly	1e	Chromosome	assembled-molecule	total-length	52005836
Primary Assembly	1e	Chromosome	assembled-molecule	ungapped-length	52000337
Primary Assembly	1e	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	1e	Chromosome	assembled-molecule	scaffold-N50	52005836
Primary Assembly	1e	Chromosome	assembled-molecule	spanned-gaps	11
Primary Assembly	1e	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	1e	Chromosome	assembled-molecule	gc-perc	36.5
Primary Assembly	1e	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1e	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1e	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	1e	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	1e	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	1e	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	2c	Chromosome	all	total-length	74718367
Primary Assembly	2c	Chromosome	all	ungapped-length	74717367
Primary Assembly	2c	Chromosome	all	scaffold-count	1
Primary Assembly	2c	Chromosome	all	scaffold-N50	74718367
Primary Assembly	2c	Chromosome	all	spanned-gaps	2
Primary Assembly	2c	Chromosome	all	unspanned-gaps	0
Primary Assembly	2c	Chromosome	all	gc-perc	36.5
Primary Assembly	2c	Chromosome	assembled-molecule	total-length	74718367
Primary Assembly	2c	Chromosome	assembled-molecule	ungapped-length	74717367
Primary Assembly	2c	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	2c	Chromosome	assembled-molecule	scaffold-N50	74718367
Primary Assembly	2c	Chromosome	assembled-molecule	spanned-gaps	2
Primary Assembly	2c	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	2c	Chromosome	assembled-molecule	gc-perc	36.5
Primary Assembly	2c	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	2c	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	2c	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	2c	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	2c	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	2c	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	2e	Chromosome	all	total-length	73705077
Primary Assembly	2e	Chromosome	all	ungapped-length	73698577
Primary Assembly	2e	Chromosome	all	scaffold-count	1
Primary Assembly	2e	Chromosome	all	scaffold-N50	73705077
Primary Assembly	2e	Chromosome	all	spanned-gaps	13
Primary Assembly	2e	Chromosome	all	unspanned-gaps	0
Primary Assembly	2e	Chromosome	all	gc-perc	36.5
Primary Assembly	2e	Chromosome	assembled-molecule	total-length	73705077
Primary Assembly	2e	Chromosome	assembled-molecule	ungapped-length	73698577
Primary Assembly	2e	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	2e	Chromosome	assembled-molecule	scaffold-N50	73705077
Primary Assembly	2e	Chromosome	assembled-molecule	spanned-gaps	13
Primary Assembly	2e	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	2e	Chromosome	assembled-molecule	gc-perc	36.5
Primary Assembly	2e	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	2e	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	2e	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	2e	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	2e	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	2e	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	3c	Chromosome	all	total-length	41337678
Primary Assembly	3c	Chromosome	all	ungapped-length	41335178
Primary Assembly	3c	Chromosome	all	scaffold-count	1
Primary Assembly	3c	Chromosome	all	scaffold-N50	41337678
Primary Assembly	3c	Chromosome	all	spanned-gaps	5
Primary Assembly	3c	Chromosome	all	unspanned-gaps	0
Primary Assembly	3c	Chromosome	all	gc-perc	36.5
Primary Assembly	3c	Chromosome	assembled-molecule	total-length	41337678
Primary Assembly	3c	Chromosome	assembled-molecule	ungapped-length	41335178
Primary Assembly	3c	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	3c	Chromosome	assembled-molecule	scaffold-N50	41337678
Primary Assembly	3c	Chromosome	assembled-molecule	spanned-gaps	5
Primary Assembly	3c	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	3c	Chromosome	assembled-molecule	gc-perc	36.5
Primary Assembly	3c	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	3c	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	3c	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	3c	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	3c	Chromosome	unlocalized-scaffold	spanned-gaps	0
