# Assembly Statistics Report
# Assembly name:  ZJU_Ppup_chr_2.0
# Organism name:  Pteromalus puparum (wasps, ants & bees)
# Isolate:  zju_2012
# Taxid:          32389
# BioSample:      SAMN11638113
# BioProject:     PRJNA542765
# Submitter:      Zhejiang University
# Date:           2023-02-10
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    VCDM03
# Assembly method: SOAPdenovo v. 1.0; SSPACE v. 2.0; PBSuite v. 15.8.24; juicer v. 1.6
# Expected final version: yes
# Genome coverage: 241.0x
# Sequencing technology: Illumina HiSeq; PacBio CLR; Hi-C
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_012977825.3
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_012977855.3		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	338098178
all	all	all	all	spanned-gaps	7854
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	3290
all	all	all	all	scaffold-N50	64814977
all	all	all	all	scaffold-L50	3
all	all	all	all	scaffold-N75	59189831
all	all	all	all	scaffold-N90	48235621
all	all	all	all	contig-count	11144
all	all	all	all	contig-N50	95904
all	all	all	all	contig-L50	912
all	all	all	all	total-gap-length	10642889
all	all	all	all	molecule-count	5
all	all	all	all	top-level-count	3290
all	all	all	all	component-count	3290
all	all	all	all	gc-perc	40.5
Primary Assembly	all	all	all	total-length	338098178
Primary Assembly	all	all	all	ungapped-length	327455289
Primary Assembly	all	all	all	scaffold-count	3290
Primary Assembly	all	all	all	scaffold-N50	64814977
Primary Assembly	all	all	all	spanned-gaps	7854
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	40.5
Primary Assembly	all	all	assembled-molecule	total-length	324183384
Primary Assembly	all	all	assembled-molecule	ungapped-length	315343368
Primary Assembly	all	all	assembled-molecule	scaffold-count	5
Primary Assembly	all	all	assembled-molecule	scaffold-N50	64814977
Primary Assembly	all	all	assembled-molecule	spanned-gaps	6891
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	40.5
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	13914794
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	12111921
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	3285
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	15241
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	963
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	39
Primary Assembly	1	Chromosome	all	total-length	67272644
Primary Assembly	1	Chromosome	all	ungapped-length	65503525
Primary Assembly	1	Chromosome	all	scaffold-count	1
Primary Assembly	1	Chromosome	all	scaffold-N50	67272644
Primary Assembly	1	Chromosome	all	spanned-gaps	1423
Primary Assembly	1	Chromosome	all	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	gc-perc	41
Primary Assembly	1	Chromosome	assembled-molecule	total-length	67272644
Primary Assembly	1	Chromosome	assembled-molecule	ungapped-length	65503525
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-N50	67272644
Primary Assembly	1	Chromosome	assembled-molecule	spanned-gaps	1423
Primary Assembly	1	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	1	Chromosome	assembled-molecule	gc-perc	41
Primary Assembly	1	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	unspanned-gaps	0
