# Assembly Statistics Report
# Assembly name:  ASM2355845v1
# Organism name:  Drosophila kepulauana (flies)
# Infraspecific name:  strain=15112-1761.03
# Sex:  female
# Taxid:          88882
# BioSample:      SAMN12703429
# BioProject:     PRJNA736413
# Submitter:      University of California Berkeley
# Date:           2022-05-31
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JAJOLM01
# Assembly method: Flye + wtdbg2 v. 2
# Expected final version: yes
# Genome coverage: 38x
# Sequencing technology: PacBio RSII
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_023558455.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_023558485.1		Primary Assembly
## GCA_023558505.1		non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	163769021
all	all	all	all	spanned-gaps	6
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	77
all	all	all	all	scaffold-N50	34564094
all	all	all	all	scaffold-L50	2
all	all	all	all	scaffold-N75	33291615
all	all	all	all	scaffold-N90	31604248
all	all	all	all	contig-count	83
all	all	all	all	contig-N50	34564094
all	all	all	all	contig-L50	2
all	all	all	all	total-gap-length	300
all	all	all	all	molecule-count	6
all	all	all	all	top-level-count	77
all	all	all	all	component-count	77
all	all	all	all	gc-perc	38
Primary Assembly	all	all	all	total-length	163752921
Primary Assembly	all	all	all	ungapped-length	163752621
Primary Assembly	all	all	all	scaffold-count	76
Primary Assembly	all	all	all	scaffold-N50	34564094
Primary Assembly	all	all	all	spanned-gaps	6
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	38
Primary Assembly	all	all	assembled-molecule	total-length	156296224
Primary Assembly	all	all	assembled-molecule	ungapped-length	156295924
Primary Assembly	all	all	assembled-molecule	scaffold-count	5
Primary Assembly	all	all	assembled-molecule	scaffold-N50	34564094
Primary Assembly	all	all	assembled-molecule	spanned-gaps	6
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	38
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	7456697
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	7456697
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	71
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	289139
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	38.5
Primary Assembly	2L	Chromosome	all	total-length	31604248
Primary Assembly	2L	Chromosome	all	ungapped-length	31604148
Primary Assembly	2L	Chromosome	all	scaffold-count	1
Primary Assembly	2L	Chromosome	all	scaffold-N50	31604248
Primary Assembly	2L	Chromosome	all	spanned-gaps	2
Primary Assembly	2L	Chromosome	all	unspanned-gaps	0
Primary Assembly	2L	Chromosome	all	gc-perc	38
Primary Assembly	2L	Chromosome	assembled-molecule	total-length	31604248
Primary Assembly	2L	Chromosome	assembled-molecule	ungapped-length	31604148
Primary Assembly	2L	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	2L	Chromosome	assembled-molecule	scaffold-N50	31604248
Primary Assembly	2L	Chromosome	assembled-molecule	spanned-gaps	2
Primary Assembly	2L	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	2L	Chromosome	assembled-molecule	gc-perc	38
Primary Assembly	2L	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	2L	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	2L	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	2L	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	2L	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	2L	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	2R	Chromosome	all	total-length	34564094
Primary Assembly	2R	Chromosome	all	ungapped-length	34564094
Primary Assembly	2R	Chromosome	all	scaffold-count	1
Primary Assembly	2R	Chromosome	all	scaffold-N50	34564094
Primary Assembly	2R	Chromosome	all	spanned-gaps	0
Primary Assembly	2R	Chromosome	all	unspanned-gaps	0
Primary Assembly	2R	Chromosome	all	gc-perc	39
Primary Assembly	2R	Chromosome	assembled-molecule	total-length	34564094
Primary Assembly	2R	Chromosome	assembled-molecule	ungapped-length	34564094
Primary Assembly	2R	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	2R	Chromosome	assembled-molecule	scaffold-N50	34564094
Primary Assembly	2R	Chromosome	assembled-molecule	spanned-gaps	0
Primary Assembly	2R	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	2R	Chromosome	assembled-molecule	gc-perc	39
Primary Assembly	2R	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	2R	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	2R	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	2R	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	2R	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	2R	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	3	Chromosome	all	total-length	55283860
Primary Assembly	3	Chromosome	all	ungapped-length	55283860
Primary Assembly	3	Chromosome	all	scaffold-count	1
Primary Assembly	3	Chromosome	all	scaffold-N50	55283860
Primary Assembly	3	Chromosome	all	spanned-gaps	0
Primary Assembly	3	Chromosome	all	unspanned-gaps	0
Primary Assembly	3	Chromosome	all	gc-perc	38
Primary Assembly	3	Chromosome	assembled-molecule	total-length	55283860
Primary Assembly	3	Chromosome	assembled-molecule	ungapped-length	55283860
Primary Assembly	3	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	3	Chromosome	assembled-molecule	scaffold-N50	55283860
Primary Assembly	3	Chromosome	assembled-molecule	spanned-gaps	0
Primary Assembly	3	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	3	Chromosome	assembled-molecule	gc-perc	38
Primary Assembly	3	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	4	Chromosome	all	total-length	1552407
Primary Assembly	4	Chromosome	all	ungapped-length	1552207
Primary Assembly	4	Chromosome	all	scaffold-count	1
Primary Assembly	4	Chromosome	all	scaffold-N50	1552407
Primary Assembly	4	Chromosome	all	spanned-gaps	4
Primary Assembly	4	Chromosome	all	unspanned-gaps	0
Primary Assembly	4	Chromosome	all	gc-perc	35
Primary Assembly	4	Chromosome	assembled-molecule	total-length	1552407
Primary Assembly	4	Chromosome	assembled-molecule	ungapped-length	1552207
Primary Assembly	4	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	4	Chromosome	assembled-molecule	scaffold-N50	1552407
Primary Assembly	4	Chromosome	assembled-molecule	spanned-gaps	4
Primary Assembly	4	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	4	Chromosome	assembled-molecule	gc-perc	35
Primary Assembly	4	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	X	Chromosome	all	total-length	33291615
Primary Assembly	X	Chromosome	all	ungapped-length	33291615
Primary Assembly	X	Chromosome	all	scaffold-count	1
Primary Assembly	X	Chromosome	all	scaffold-N50	33291615
Primary Assembly	X	Chromosome	all	spanned-gaps	0
Primary Assembly	X	Chromosome	all	unspanned-gaps	0
Primary Assembly	X	Chromosome	all	gc-perc	37.5
Primary Assembly	X	Chromosome	assembled-molecule	total-length	33291615
Primary Assembly	X	Chromosome	assembled-molecule	ungapped-length	33291615
Primary Assembly	X	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	X	Chromosome	assembled-molecule	scaffold-N50	33291615
Primary Assembly	X	Chromosome	assembled-molecule	spanned-gaps	0
Primary Assembly	X	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	X	Chromosome	assembled-molecule	gc-perc	37.5
Primary Assembly	X	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	X	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	X	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	X	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	X	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	X	Chromosome	unlocalized-scaffold	unspanned-gaps	0
non-nuclear	all	all	all	total-length	16100
non-nuclear	all	all	all	ungapped-length	16100
non-nuclear	all	all	all	scaffold-count	1
non-nuclear	all	all	all	scaffold-N50	16100
non-nuclear	all	all	all	spanned-gaps	0
non-nuclear	all	all	all	unspanned-gaps	0
non-nuclear	all	all	all	gc-perc	23
non-nuclear	all	all	assembled-molecule	total-length	0
non-nuclear	all	all	assembled-molecule	ungapped-length	0
non-nuclear	all	all	assembled-molecule	scaffold-count	0
non-nuclear	all	all	assembled-molecule	scaffold-N50	0
non-nuclear	all	all	assembled-molecule	spanned-gaps	0
non-nuclear	all	all	assembled-molecule	unspanned-gaps	0
non-nuclear	all	all	unlocalized-scaffold	total-length	16100
non-nuclear	all	all	unlocalized-scaffold	ungapped-length	16100
