# Assembly Statistics Report
# Assembly name:  ASM192302v3
# Organism name:  Taenia multiceps (flatworms)
# Isolate:  Gns01
# Taxid:          94034
# BioSample:      SAMN04413755
# BioProject:     PRJNA307624
# Submitter:      Agricultural Genomics Institute at Shenzhen Chinese Academy of Agricultural Sciences
# Date:           2018-10-05
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    MRSW03
# Assembly method: Canu v. 1.3
# Expected final version: yes
# Genome coverage: 120.0x
# Sequencing technology: PacBio
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_001923025.3
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_001923035.3		Primary Assembly
## GCA_003312865.2		non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	240610560
all	all	all	all	spanned-gaps	1305
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	738
all	all	all	all	scaffold-N50	44815576
all	all	all	all	scaffold-L50	2
all	all	all	all	scaffold-N75	21577917
all	all	all	all	scaffold-N90	8527455
all	all	all	all	contig-count	2043
all	all	all	all	contig-N50	756412
all	all	all	all	contig-L50	50
all	all	all	all	total-gap-length	130500
all	all	all	all	molecule-count	8
all	all	all	all	top-level-count	738
all	all	all	all	component-count	738
all	all	all	all	gc-perc	44
Primary Assembly	all	all	all	total-length	240596867
Primary Assembly	all	all	all	ungapped-length	240466367
Primary Assembly	all	all	all	scaffold-count	737
Primary Assembly	all	all	all	scaffold-N50	44815576
Primary Assembly	all	all	all	spanned-gaps	1305
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	44
Primary Assembly	all	all	assembled-molecule	total-length	216915749
Primary Assembly	all	all	assembled-molecule	ungapped-length	216785249
Primary Assembly	all	all	assembled-molecule	scaffold-count	7
Primary Assembly	all	all	assembled-molecule	scaffold-N50	44815576
Primary Assembly	all	all	assembled-molecule	spanned-gaps	1305
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	43.5
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	23681118
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	23681118
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	730
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	32827
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	44.5
Primary Assembly	LG1	Linkage Group	all	total-length	80086874
Primary Assembly	LG1	Linkage Group	all	ungapped-length	80071874
Primary Assembly	LG1	Linkage Group	all	scaffold-count	1
Primary Assembly	LG1	Linkage Group	all	scaffold-N50	80086874
Primary Assembly	LG1	Linkage Group	all	spanned-gaps	150
Primary Assembly	LG1	Linkage Group	all	unspanned-gaps	0
Primary Assembly	LG1	Linkage Group	all	gc-perc	43
Primary Assembly	LG1	Linkage Group	assembled-molecule	total-length	80086874
Primary Assembly	LG1	Linkage Group	assembled-molecule	ungapped-length	80071874
Primary Assembly	LG1	Linkage Group	assembled-molecule	scaffold-count	1
Primary Assembly	LG1	Linkage Group	assembled-molecule	scaffold-N50	80086874
Primary Assembly	LG1	Linkage Group	assembled-molecule	spanned-gaps	150
Primary Assembly	LG1	Linkage Group	assembled-molecule	unspanned-gaps	0
Primary Assembly	LG1	Linkage Group	assembled-molecule	gc-perc	43
Primary Assembly	LG1	Linkage Group	unlocalized-scaffold	total-length	0
Primary Assembly	LG1	Linkage Group	unlocalized-scaffold	ungapped-length	0
Primary Assembly	LG1	Linkage Group	unlocalized-scaffold	scaffold-count	0
Primary Assembly	LG1	Linkage Group	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	LG1	Linkage Group	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	LG1	Linkage Group	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	LG2	Linkage Group	all	total-length	44815576
Primary Assembly	LG2	Linkage Group	all	ungapped-length	44769676
Primary Assembly	LG2	Linkage Group	all	scaffold-count	1
Primary Assembly	LG2	Linkage Group	all	scaffold-N50	44815576
Primary Assembly	LG2	Linkage Group	all	spanned-gaps	459
Primary Assembly	LG2	Linkage Group	all	unspanned-gaps	0
Primary Assembly	LG2	Linkage Group	all	gc-perc	43.5
Primary Assembly	LG2	Linkage Group	assembled-molecule	total-length	44815576
Primary Assembly	LG2	Linkage Group	assembled-molecule	ungapped-length	44769676
Primary Assembly	LG2	Linkage Group	assembled-molecule	scaffold-count	1
Primary Assembly	LG2	Linkage Group	assembled-molecule	scaffold-N50	44815576
Primary Assembly	LG2	Linkage Group	assembled-molecule	spanned-gaps	459
Primary Assembly	LG2	Linkage Group	assembled-molecule	unspanned-gaps	0
Primary Assembly	LG2	Linkage Group	assembled-molecule	gc-perc	43.5
Primary Assembly	LG2	Linkage Group	unlocalized-scaffold	total-length	0
Primary Assembly	LG2	Linkage Group	unlocalized-scaffold	ungapped-length	0
Primary Assembly	LG2	Linkage Group	unlocalized-scaffold	scaffold-count	0
Primary Assembly	LG2	Linkage Group	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	LG2	Linkage Group	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	LG2	Linkage Group	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	LG3	Linkage Group	all	total-length	27431666
Primary Assembly	LG3	Linkage Group	all	ungapped-length	27413966
Primary Assembly	LG3	Linkage Group	all	scaffold-count	1
Primary Assembly	LG3	Linkage Group	all	scaffold-N50	27431666
Primary Assembly	LG3	Linkage Group	all	spanned-gaps	177
Primary Assembly	LG3	Linkage Group	all	unspanned-gaps	0
Primary Assembly	LG3	Linkage Group	all	gc-perc	43.5
Primary Assembly	LG3	Linkage Group	assembled-molecule	total-length	27431666
Primary Assembly	LG3	Linkage Group	assembled-molecule	ungapped-length	27413966
Primary Assembly	LG3	Linkage Group	assembled-molecule	scaffold-count	1
Primary Assembly	LG3	Linkage Group	assembled-molecule	scaffold-N50	27431666
Primary Assembly	LG3	Linkage Group	assembled-molecule	spanned-gaps	177
Primary Assembly	LG3	Linkage Group	assembled-molecule	unspanned-gaps	0
Primary Assembly	LG3	Linkage Group	assembled-molecule	gc-perc	43.5
Primary Assembly	LG3	Linkage Group	unlocalized-scaffold	total-length	0
Primary Assembly	LG3	Linkage Group	unlocalized-scaffold	ungapped-length	0
Primary Assembly	LG3	Linkage Group	unlocalized-scaffold	scaffold-count	0
Primary Assembly	LG3	Linkage Group	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	LG3	Linkage Group	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	LG3	Linkage Group	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	LG4	Linkage Group	all	total-length	22619299
Primary Assembly	LG4	Linkage Group	all	ungapped-length	22601299
Primary Assembly	LG4	Linkage Group	all	scaffold-count	1
Primary Assembly	LG4	Linkage Group	all	scaffold-N50	22619299
Primary Assembly	LG4	Linkage Group	all	spanned-gaps	180
Primary Assembly	LG4	Linkage Group	all	unspanned-gaps	0
Primary Assembly	LG4	Linkage Group	all	gc-perc	44.5
Primary Assembly	LG4	Linkage Group	assembled-molecule	total-length	22619299
Primary Assembly	LG4	Linkage Group	assembled-molecule	ungapped-length	22601299
Primary Assembly	LG4	Linkage Group	assembled-molecule	scaffold-count	1
Primary Assembly	LG4	Linkage Group	assembled-molecule	scaffold-N50	22619299
Primary Assembly	LG4	Linkage Group	assembled-molecule	spanned-gaps	180
Primary Assembly	LG4	Linkage Group	assembled-molecule	unspanned-gaps	0
Primary Assembly	LG4	Linkage Group	assembled-molecule	gc-perc	44.5
Primary Assembly	LG4	Linkage Group	unlocalized-scaffold	total-length	0
Primary Assembly	LG4	Linkage Group	unlocalized-scaffold	ungapped-length	0
Primary Assembly	LG4	Linkage Group	unlocalized-scaffold	scaffold-count	0
Primary Assembly	LG4	Linkage Group	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	LG4	Linkage Group	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	LG4	Linkage Group	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	LG5	Linkage Group	all	total-length	21577917
Primary Assembly	LG5	Linkage Group	all	ungapped-length	21556817
Primary Assembly	LG5	Linkage Group	all	scaffold-count	1
Primary Assembly	LG5	Linkage Group	all	scaffold-N50	21577917
Primary Assembly	LG5	Linkage Group	all	spanned-gaps	211
Primary Assembly	LG5	Linkage Group	all	unspanned-gaps	0
Primary Assembly	LG5	Linkage Group	all	gc-perc	45
Primary Assembly	LG5	Linkage Group	assembled-molecule	total-length	21577917
Primary Assembly	LG5	Linkage Group	assembled-molecule	ungapped-length	21556817
Primary Assembly	LG5	Linkage Group	assembled-molecule	scaffold-count	1
Primary Assembly	LG5	Linkage Group	assembled-molecule	scaffold-N50	21577917
Primary Assembly	LG5	Linkage Group	assembled-molecule	spanned-gaps	211
Primary Assembly	LG5	Linkage Group	assembled-molecule	unspanned-gaps	0
Primary Assembly	LG5	Linkage Group	assembled-molecule	gc-perc	45
Primary Assembly	LG5	Linkage Group	unlocalized-scaffold	total-length	0
Primary Assembly	LG5	Linkage Group	unlocalized-scaffold	ungapped-length	0
Primary Assembly	LG5	Linkage Group	unlocalized-scaffold	scaffold-count	0
Primary Assembly	LG5	Linkage Group	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	LG5	Linkage Group	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	LG5	Linkage Group	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	LG6	Linkage Group	all	total-length	11856962
Primary Assembly	LG6	Linkage Group	all	ungapped-length	11847362
