# Assembly Statistics Report
# Assembly name:  BU_Bcop_v2
# Organism name:  Bradysia coprophila (flies)
# Infraspecific name:  strain=Holo2
# Sex:  male
# Taxid:          38358
# BioSample:      SAMN12533751
# BioProject:     PRJNA291918
# Submitter:      Brown University
# Date:           2023-01-04
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    VSDI02
# Assembly method: Canu v. 1.3
# Expected final version: no
# Genome coverage: 300.0x
# Sequencing technology: Illumina NovaSeq
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_014529535.2
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_014529545.2		Primary Assembly
## GCA_014529555.2		non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	309635125
all	all	all	all	spanned-gaps	367
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	594
all	all	all	all	scaffold-N50	71047972
all	all	all	all	scaffold-L50	2
all	all	all	all	scaffold-N75	70507862
all	all	all	all	scaffold-N90	58343183
all	all	all	all	contig-count	961
all	all	all	all	contig-N50	2149647
all	all	all	all	contig-L50	34
all	all	all	all	total-gap-length	7288286
all	all	all	all	molecule-count	5
all	all	all	all	top-level-count	594
all	all	all	all	component-count	594
all	all	all	all	gc-perc	35.5
Primary Assembly	all	all	all	total-length	309631872
Primary Assembly	all	all	all	ungapped-length	302343586
Primary Assembly	all	all	all	scaffold-count	593
Primary Assembly	all	all	all	scaffold-N50	71047972
Primary Assembly	all	all	all	spanned-gaps	367
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	35.5
Primary Assembly	all	all	assembled-molecule	total-length	296980291
Primary Assembly	all	all	assembled-molecule	ungapped-length	289711466
Primary Assembly	all	all	assembled-molecule	scaffold-count	4
Primary Assembly	all	all	assembled-molecule	scaffold-N50	71047972
Primary Assembly	all	all	assembled-molecule	spanned-gaps	360
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	35.5
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	12651581
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	12632120
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	589
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	24649
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	7
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	35
