# Assembly Statistics Report
# Assembly name:  idAnoBellAS_SP24_06.2
# Organism name:  Anopheles bellator (mosquitos)
# Taxid:          139047
# BioSample:      SAMEA12928208
# BioProject:     PRJEB53274
# Submitter:      WELLCOME SANGER INSTITUTE
# Date:           2023-04-08
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    CALSEL02
# Assembly method: various
# Genome coverage: 120x
# Sequencing technology: Illumina,Arima
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_943735745.2
# RefSeq assembly accession: GCF_943735745.2
# RefSeq assembly and GenBank assemblies identical: no
# Reporting on RefSeq assembly.
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_943735744.2	GCF_943735744.2	Primary Assembly
## 	GCF_028572365.1	non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	169575294
all	all	all	all	spanned-gaps	2073
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	2985
all	all	all	all	scaffold-N50	85293694
all	all	all	all	scaffold-L50	1
all	all	all	all	scaffold-N75	60404489
all	all	all	all	scaffold-N90	12334942
all	all	all	all	contig-count	5058
all	all	all	all	contig-N50	196687
all	all	all	all	contig-L50	248
all	all	all	all	total-gap-length	3546093
all	all	all	all	molecule-count	3
all	all	all	all	top-level-count	2985
all	all	all	all	component-count	2985
all	all	all	all	gc-perc	49
Primary Assembly	all	all	all	total-length	169575294
Primary Assembly	all	all	all	ungapped-length	166029201
Primary Assembly	all	all	all	scaffold-count	2985
Primary Assembly	all	all	all	scaffold-N50	85293694
Primary Assembly	all	all	all	spanned-gaps	2073
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	49
Primary Assembly	all	all	assembled-molecule	total-length	158033125
Primary Assembly	all	all	assembled-molecule	ungapped-length	154945832
Primary Assembly	all	all	assembled-molecule	scaffold-count	3
Primary Assembly	all	all	assembled-molecule	scaffold-N50	85293694
Primary Assembly	all	all	assembled-molecule	spanned-gaps	1647
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	49
Primary Assembly	all	all	unlocalized-scaffold	total-length	2254174
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	1913274
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	40
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	316961
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	81
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	gc-perc	43.5
Primary Assembly	na	na	unplaced-scaffold	total-length	9287995
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	9170095
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	2942
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	4241
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	345
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	46.5
Primary Assembly	1	Chromosome	all	total-length	60404489
