# Assembly Statistics Report
# Assembly name:  ilEpiBrun1.1
# Organism name:  Epinotia brunnichana (moths)
# Taxid:          2566568
# BioSample:      SAMEA7701529
# BioProject:     PRJEB70820
# Submitter:      WELLCOME SANGER INSTITUTE
# Date:           2023-12-15
# Assembly type:  haploid (principal pseudohaplotype of diploid)
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    CAWKZR01
# Assembly method: various
# Genome coverage: 25x
# Sequencing technology: PacBio,Arima2
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_963854355.1
# Linked assembly: GCA_963855035.1 (alternate pseudohaplotype of diploid)
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_963854354.1		Primary Assembly
## GCA_963854356.1		non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	943114217
all	all	all	all	spanned-gaps	99
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	113
all	all	all	all	scaffold-N50	34107155
all	all	all	all	scaffold-L50	11
all	all	all	all	scaffold-N75	28258602
all	all	all	all	scaffold-N90	19904283
all	all	all	all	contig-count	212
all	all	all	all	contig-N50	11907979
all	all	all	all	contig-L50	28
all	all	all	all	total-gap-length	18885
all	all	all	all	molecule-count	30
all	all	all	all	top-level-count	113
all	all	all	all	component-count	113
all	all	all	all	gc-perc	39
Primary Assembly	all	all	all	total-length	943098519
Primary Assembly	all	all	all	ungapped-length	943079634
Primary Assembly	all	all	all	scaffold-count	112
Primary Assembly	all	all	all	scaffold-N50	34107155
Primary Assembly	all	all	all	spanned-gaps	99
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	39
Primary Assembly	all	all	assembled-molecule	total-length	917980084
Primary Assembly	all	all	assembled-molecule	ungapped-length	917961199
Primary Assembly	all	all	assembled-molecule	scaffold-count	29
Primary Assembly	all	all	assembled-molecule	scaffold-N50	34107155
Primary Assembly	all	all	assembled-molecule	spanned-gaps	99
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	39
Primary Assembly	all	all	unlocalized-scaffold	total-length	22198164
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	22198164
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	37
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	925991
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	gc-perc	39.5
Primary Assembly	na	na	unplaced-scaffold	total-length	2920271
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	2920271
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	46
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	71000
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	42
Primary Assembly	1	Chromosome	all	total-length	57562149
Primary Assembly	1	Chromosome	all	ungapped-length	57560549
Primary Assembly	1	Chromosome	all	scaffold-count	1
Primary Assembly	1	Chromosome	all	scaffold-N50	57562149
Primary Assembly	1	Chromosome	all	spanned-gaps	8
Primary Assembly	1	Chromosome	all	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	gc-perc	38.5
Primary Assembly	1	Chromosome	assembled-molecule	total-length	57562149
Primary Assembly	1	Chromosome	assembled-molecule	ungapped-length	57560549
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-N50	57562149
Primary Assembly	1	Chromosome	assembled-molecule	spanned-gaps	8
Primary Assembly	1	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	1	Chromosome	assembled-molecule	gc-perc	38.5
Primary Assembly	1	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	spanned-gaps	0
