# Assembly Statistics Report
# Assembly name:  ASM2139784v1
# Organism name:  Areca catechu (monocots)
# Infraspecific name:  cultivar=Reyan
# Taxid:          184783
# BioSample:      SAMN19591864
# BioProject:     PRJNA735650
# Submitter:      Hainan university
# Date:           2022-01-11
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JAHSVC01
# Assembly method: HiRRA v. 1.0
# Expected final version: yes
# Genome coverage: 100.0x
# Sequencing technology: PacBio
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_021397845.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_021397935.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	2823079964
all	all	all	all	spanned-gaps	7407
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	73
all	all	all	all	scaffold-N50	186523490
all	all	all	all	scaffold-L50	8
all	all	all	all	scaffold-N75	150565045
all	all	all	all	scaffold-N90	103161028
all	all	all	all	contig-count	7480
all	all	all	all	contig-N50	21185935
all	all	all	all	contig-L50	41
all	all	all	all	total-gap-length	44287598
all	all	all	all	molecule-count	16
all	all	all	all	top-level-count	73
all	all	all	all	component-count	73
all	all	all	all	gc-perc	41.5
Primary Assembly	all	all	all	total-length	2823079964
Primary Assembly	all	all	all	ungapped-length	2778792366
Primary Assembly	all	all	all	scaffold-count	73
Primary Assembly	all	all	all	scaffold-N50	186523490
Primary Assembly	all	all	all	spanned-gaps	7407
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	41.5
Primary Assembly	all	all	assembled-molecule	total-length	2700331709
Primary Assembly	all	all	assembled-molecule	ungapped-length	2670761481
Primary Assembly	all	all	assembled-molecule	scaffold-count	16
Primary Assembly	all	all	assembled-molecule	scaffold-N50	188918428
Primary Assembly	all	all	assembled-molecule	spanned-gaps	4836
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	41.5
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	122748255
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	108030885
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	57
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	3030142
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	2571
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
