# Assembly Statistics Report
# Assembly name:  bMorBas2.hap2
# Organism name:  Morus bassanus (northern gannet)
# Isolate:  bMorBas2
# Sex:  male
# Taxid:          37578
# BioSample:      SAMN37096299
# BioProject:     PRJNA1009681
# Submitter:      Vertebrate Genomes Project
# Date:           2023-09-15
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JAVHSO01
# Assembly method: Hifiasm + Hi-C phasing v. 0.19.3 + galaxy0; yahs v. 1.2a.2 + galaxy0
# Expected final version: no
# Genome coverage: 38.0x
# Sequencing technology: PacBio Sequel II HiFi; Arima Hi-C v2
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_031468815.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_031468865.1		Primary Assembly
## GCA_031468935.1		non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	1294804326
all	all	all	all	spanned-gaps	248
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	421
all	all	all	all	scaffold-N50	85624757
all	all	all	all	scaffold-L50	6
all	all	all	all	scaffold-N75	30933666
all	all	all	all	scaffold-N90	9160443
all	all	all	all	contig-count	669
all	all	all	all	contig-N50	10178591
all	all	all	all	contig-L50	40
all	all	all	all	total-gap-length	49600
all	all	all	all	molecule-count	35
all	all	all	all	top-level-count	421
all	all	all	all	component-count	421
all	all	all	all	gc-perc	42.5
Primary Assembly	all	all	all	total-length	1294787636
Primary Assembly	all	all	all	ungapped-length	1294738036
Primary Assembly	all	all	all	scaffold-count	420
Primary Assembly	all	all	all	scaffold-N50	85624757
Primary Assembly	all	all	all	spanned-gaps	248
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	42.5
Primary Assembly	all	all	assembled-molecule	total-length	1214476661
Primary Assembly	all	all	assembled-molecule	ungapped-length	1214428261
Primary Assembly	all	all	assembled-molecule	scaffold-count	34
Primary Assembly	all	all	assembled-molecule	scaffold-N50	85624757
Primary Assembly	all	all	assembled-molecule	spanned-gaps	242
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	42
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	80310975
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	80309775
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	386
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	667311
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	6
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	48.5
Primary Assembly	1	Chromosome	all	total-length	170178824
Primary Assembly	1	Chromosome	all	ungapped-length	170172824
Primary Assembly	1	Chromosome	all	scaffold-count	1
Primary Assembly	1	Chromosome	all	scaffold-N50	170178824
Primary Assembly	1	Chromosome	all	spanned-gaps	30
Primary Assembly	1	Chromosome	all	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	gc-perc	40.5
Primary Assembly	1	Chromosome	assembled-molecule	total-length	170178824
Primary Assembly	1	Chromosome	assembled-molecule	ungapped-length	170172824
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-N50	170178824
Primary Assembly	1	Chromosome	assembled-molecule	spanned-gaps	30
Primary Assembly	1	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	1	Chromosome	assembled-molecule	gc-perc	40.5
Primary Assembly	1	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	2	Chromosome	all	total-length	135246905
Primary Assembly	2	Chromosome	all	ungapped-length	135241305
Primary Assembly	2	Chromosome	all	scaffold-count	1
Primary Assembly	2	Chromosome	all	scaffold-N50	135246905
Primary Assembly	2	Chromosome	all	spanned-gaps	28
Primary Assembly	2	Chromosome	all	unspanned-gaps	0
Primary Assembly	2	Chromosome	all	gc-perc	40.5
Primary Assembly	2	Chromosome	assembled-molecule	total-length	135246905
Primary Assembly	2	Chromosome	assembled-molecule	ungapped-length	135241305
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-N50	135246905
Primary Assembly	2	Chromosome	assembled-molecule	spanned-gaps	28
Primary Assembly	2	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	2	Chromosome	assembled-molecule	gc-perc	40.5
Primary Assembly	2	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	3	Chromosome	all	total-length	117810103
Primary Assembly	3	Chromosome	all	ungapped-length	117807103
Primary Assembly	3	Chromosome	all	scaffold-count	1
Primary Assembly	3	Chromosome	all	scaffold-N50	117810103
Primary Assembly	3	Chromosome	all	spanned-gaps	15
Primary Assembly	3	Chromosome	all	unspanned-gaps	0
Primary Assembly	3	Chromosome	all	gc-perc	41
Primary Assembly	3	Chromosome	assembled-molecule	total-length	117810103
Primary Assembly	3	Chromosome	assembled-molecule	ungapped-length	117807103
Primary Assembly	3	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	3	Chromosome	assembled-molecule	scaffold-N50	117810103
Primary Assembly	3	Chromosome	assembled-molecule	spanned-gaps	15
Primary Assembly	3	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	3	Chromosome	assembled-molecule	gc-perc	41
Primary Assembly	3	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	4	Chromosome	all	total-length	85674795
Primary Assembly	4	Chromosome	all	ungapped-length	85671795
Primary Assembly	4	Chromosome	all	scaffold-count	1
Primary Assembly	4	Chromosome	all	scaffold-N50	85674795
Primary Assembly	4	Chromosome	all	spanned-gaps	15
Primary Assembly	4	Chromosome	all	unspanned-gaps	0
Primary Assembly	4	Chromosome	all	gc-perc	40
Primary Assembly	4	Chromosome	assembled-molecule	total-length	85674795
Primary Assembly	4	Chromosome	assembled-molecule	ungapped-length	85671795
Primary Assembly	4	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	4	Chromosome	assembled-molecule	scaffold-N50	85674795
Primary Assembly	4	Chromosome	assembled-molecule	spanned-gaps	15
Primary Assembly	4	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	4	Chromosome	assembled-molecule	gc-perc	40
Primary Assembly	4	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	5	Chromosome	all	total-length	85624757
Primary Assembly	5	Chromosome	all	ungapped-length	85622157
Primary Assembly	5	Chromosome	all	scaffold-count	1
Primary Assembly	5	Chromosome	all	scaffold-N50	85624757
Primary Assembly	5	Chromosome	all	spanned-gaps	13
Primary Assembly	5	Chromosome	all	unspanned-gaps	0
Primary Assembly	5	Chromosome	all	gc-perc	41
Primary Assembly	5	Chromosome	assembled-molecule	total-length	85624757
Primary Assembly	5	Chromosome	assembled-molecule	ungapped-length	85622157
