# Assembly Statistics Report
# Assembly name:  sMobHyp1.1
# Organism name:  Mobula hypostoma (lesser devil ray)
# Taxid:          723540
# BioSample:      SAMEA115045128
# BioProject:     PRJEB71673
# Submitter:      Centro Nacional de Análisis Genómico
# Date:           2024-01-06
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    CAWUEV01
# Assembly method: NEXTDENOVO, HYPO, PURGE_DUPS, YAHS
# Genome coverage: 100x
# Sequencing technology: ONT, Illumina, omniC
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_963921235.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_963921234.1		Primary Assembly
## GCA_963921236.1		non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	3475697635
all	all	all	all	spanned-gaps	697
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	201
all	all	all	all	scaffold-N50	152437164
all	all	all	all	scaffold-L50	9
all	all	all	all	scaffold-N75	73079903
all	all	all	all	scaffold-N90	49647550
all	all	all	all	contig-count	898
all	all	all	all	contig-N50	23327000
all	all	all	all	contig-L50	44
all	all	all	all	total-gap-length	139400
all	all	all	all	molecule-count	35
all	all	all	all	top-level-count	201
all	all	all	all	component-count	201
all	all	all	all	gc-perc	43
Primary Assembly	all	all	all	total-length	3475679493
Primary Assembly	all	all	all	ungapped-length	3475540093
Primary Assembly	all	all	all	scaffold-count	200
Primary Assembly	all	all	all	scaffold-N50	152437164
Primary Assembly	all	all	all	spanned-gaps	697
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	43
Primary Assembly	all	all	assembled-molecule	total-length	3411391361
Primary Assembly	all	all	assembled-molecule	ungapped-length	3411259561
Primary Assembly	all	all	assembled-molecule	scaffold-count	34
Primary Assembly	all	all	assembled-molecule	scaffold-N50	152437164
Primary Assembly	all	all	assembled-molecule	spanned-gaps	659
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	43
Primary Assembly	all	all	unlocalized-scaffold	total-length	27776671
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	27774471
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	70
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	440348
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	11
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	gc-perc	48
Primary Assembly	na	na	unplaced-scaffold	total-length	36511461
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	36506061
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	96
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	482073
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	27
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
