# Assembly Statistics Report
# Assembly name:  UNM_UB_HamM1_1.0
# Organism name:  Hybognathus amarus (Rio Grande silvery minnow)
# Isolate:  RGSM_M1
# Taxid:          264545
# BioSample:      SAMN32668621
# BioProject:     PRJNA887477
# Submitter:      University of New Mexico
# Date:           2023-06-30
# Assembly type:  haploid
# Release type:   major
# Assembly level: Scaffold
# Genome representation: full
# WGS project:    JAQIUP01
# Assembly method: Flye v. 2.8
# Expected final version: yes
# Genome coverage: 11.6x
# Sequencing technology: Oxford Nanopore GridION
# GenBank assembly accession: GCA_030378385.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_030378465.1		Primary Assembly
## GCA_030378475.1		non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	923693146
all	all	all	all	spanned-gaps	60
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	28349
all	all	all	all	scaffold-N50	251424
all	all	all	all	scaffold-L50	1042
all	all	all	all	scaffold-N75	106353
all	all	all	all	scaffold-N90	29107
all	all	all	all	contig-count	28409
all	all	all	all	contig-N50	247644
all	all	all	all	contig-L50	1050
all	all	all	all	total-gap-length	6000
all	all	all	all	molecule-count	1
all	all	all	all	top-level-count	28349
all	all	all	all	component-count	28349
all	all	all	all	gc-perc	38
Primary Assembly	all	all	all	total-length	923692566
Primary Assembly	all	all	all	ungapped-length	923686566
Primary Assembly	all	all	all	scaffold-count	28348
Primary Assembly	all	all	all	scaffold-N50	251424
Primary Assembly	all	all	all	spanned-gaps	60
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	38
Primary Assembly	all	all	assembled-molecule	total-length	0
Primary Assembly	all	all	assembled-molecule	ungapped-length	0
Primary Assembly	all	all	assembled-molecule	scaffold-count	0
Primary Assembly	all	all	assembled-molecule	scaffold-N50	0
Primary Assembly	all	all	assembled-molecule	spanned-gaps	0
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	923692566
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	923686566
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	28348
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	251424
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	60
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	38
non-nuclear	all	all	all	total-length	580
non-nuclear	all	all	all	ungapped-length	580
