# Assembly Statistics Report
# Assembly name:  dyak_caf1
# Organism name:  Drosophila yakuba (flies)
# Infraspecific name:  strain=Tai18E2
# Taxid:          7245
# BioSample:      SAMN02952910
# BioProject:     PRJNA12366
# Submitter:      FlyBase
# Date:           2006-06-27
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    AAEU02
# Genome coverage: 9.1x
# Excluded from RefSeq: superseded by newer assembly for species
# GenBank assembly accession: GCA_000005975.1
# RefSeq assembly accession: GCF_000005975.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000005985.1	GCF_000005985.1	Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	165693946
all	all	all	all	spanned-gaps	5318
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	8122
all	all	all	all	scaffold-N50	21770863
all	all	all	all	scaffold-L50	4
all	all	all	all	scaffold-N75	880421
all	all	all	all	scaffold-N90	13420
all	all	all	all	contig-count	13440
all	all	all	all	contig-N50	115562
all	all	all	all	contig-L50	275
all	all	all	all	total-gap-length	3111989
all	all	all	all	molecule-count	7
all	all	all	all	top-level-count	8122
all	all	all	all	component-count	13439
all	all	all	all	gc-perc	42.5
Primary Assembly	all	all	all	total-length	165693946
Primary Assembly	all	all	all	ungapped-length	162581957
Primary Assembly	all	all	all	scaffold-count	8122
Primary Assembly	all	all	all	scaffold-N50	21770863
Primary Assembly	all	all	all	spanned-gaps	5318
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	42.5
Primary Assembly	all	all	assembled-molecule	total-length	119638745
Primary Assembly	all	all	assembled-molecule	ungapped-length	118705189
Primary Assembly	all	all	assembled-molecule	scaffold-count	6
Primary Assembly	all	all	assembled-molecule	scaffold-N50	22324452
Primary Assembly	all	all	assembled-molecule	spanned-gaps	2178
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	43
Primary Assembly	all	all	unlocalized-scaffold	total-length	13286672
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	12775395
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	1049
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	81181
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	783
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	gc-perc	41.5
Primary Assembly	na	na	unplaced-scaffold	total-length	32768529
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	31101373
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	7067
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	22840
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	2357
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	40
Primary Assembly	X	Chromosome	all	total-length	23688921
Primary Assembly	X	Chromosome	all	ungapped-length	23367413
Primary Assembly	X	Chromosome	all	scaffold-count	60
Primary Assembly	X	Chromosome	all	scaffold-N50	21770863
Primary Assembly	X	Chromosome	all	spanned-gaps	715
Primary Assembly	X	Chromosome	all	unspanned-gaps	0
Primary Assembly	X	Chromosome	all	gc-perc	43
Primary Assembly	X	Chromosome	assembled-molecule	total-length	21770863
