# Assembly Statistics Report
# Assembly name:  Caur_TTU_1.0
# Organism name:  Colaptes auratus (northern flicker)
# Infraspecific name:  ecotype=New Mexico
# Taxid:          51355
# BioSample:      SAMN14482758
# BioProject:     PRJNA616131
# Submitter:      Texas Tech University
# Date:           2021-12-06
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JAAWVA01
# Assembly method: Canu v. 1.7.1; Supernova v. 2.0.1; 3D-DNA v. FEBRUARY-2020; LINKS v. 1.8.6
# Expected final version: yes
# Genome coverage: 34.0x
# Sequencing technology: Illumina NovaSeq; PacBio Sequel
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_015227895.2
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_015227925.2		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	1378187165
all	all	all	all	spanned-gaps	7196
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	2369
all	all	all	all	scaffold-N50	43947546
all	all	all	all	scaffold-L50	11
all	all	all	all	scaffold-N75	23851480
all	all	all	all	scaffold-N90	14604346
all	all	all	all	contig-count	9565
all	all	all	all	contig-N50	826960
all	all	all	all	contig-L50	281
all	all	all	all	total-gap-length	9136278
all	all	all	all	molecule-count	29
all	all	all	all	top-level-count	2369
all	all	all	all	component-count	2369
all	all	all	all	gc-perc	45
Primary Assembly	all	all	all	total-length	1378187165
Primary Assembly	all	all	all	ungapped-length	1369050887
Primary Assembly	all	all	all	scaffold-count	2369
Primary Assembly	all	all	all	scaffold-N50	43947546
Primary Assembly	all	all	all	spanned-gaps	7196
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	45
Primary Assembly	all	all	assembled-molecule	total-length	1164647040
Primary Assembly	all	all	assembled-molecule	ungapped-length	1157320188
Primary Assembly	all	all	assembled-molecule	scaffold-count	29
Primary Assembly	all	all	assembled-molecule	scaffold-N50	47522201
Primary Assembly	all	all	assembled-molecule	spanned-gaps	5704
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	44
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	213540125
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	211730699
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	2340
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	13424767
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	1492
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	50.5
Primary Assembly	1	Chromosome	all	total-length	117313203
