# Assembly Statistics Report
# Assembly name:  ASM808671v1
# Organism name:  Sitobion miscanthi (aphids)
# Isolate:  Langfang-1
# Sex:  female
# Taxid:          44668
# BioSample:      SAMN11401706
# BioProject:     PRJNA532495
# Submitter:      Institute of Plant Protection, Chinese Academy of Agricultural Sciences
# Date:           2019-08-28
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    SSSL01
# Assembly method: Canu v. 1.5
# Expected final version: yes
# Genome coverage: 87.0x
# Sequencing technology: PacBio Sequel
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_008086715.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_008086765.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	397852643
all	all	all	all	spanned-gaps	492
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	653
all	all	all	all	scaffold-N50	36263045
all	all	all	all	scaffold-L50	4
all	all	all	all	scaffold-N75	32651544
all	all	all	all	scaffold-N90	28943255
all	all	all	all	contig-count	1145
all	all	all	all	contig-N50	1613763
all	all	all	all	contig-L50	58
all	all	all	all	total-gap-length	49200
all	all	all	all	molecule-count	9
all	all	all	all	top-level-count	653
all	all	all	all	component-count	653
all	all	all	all	gc-perc	30
Primary Assembly	all	all	all	total-length	397852643
Primary Assembly	all	all	all	ungapped-length	397803443
Primary Assembly	all	all	all	scaffold-count	653
Primary Assembly	all	all	all	scaffold-N50	36263045
Primary Assembly	all	all	all	spanned-gaps	492
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	30
Primary Assembly	all	all	assembled-molecule	total-length	377196049
Primary Assembly	all	all	assembled-molecule	ungapped-length	377146849
Primary Assembly	all	all	assembled-molecule	scaffold-count	9
Primary Assembly	all	all	assembled-molecule	scaffold-N50	36263045
Primary Assembly	all	all	assembled-molecule	spanned-gaps	492
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	30
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	20656594
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	20656594
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	644
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	42021
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	31
