# Assembly Statistics Report
# Assembly name:  ASM2237911v2
# Organism name:  Bauhinia variegata (eudicots)
# Isolate:  BV-YZ2020
# Taxid:          167791
# BioSample:      SAMN25391341
# BioProject:     PRJNA801801
# Submitter:      Sun Yat-sen University
# Date:           2022-06-06
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JAKRYI02
# Assembly method: Canu v. 2.0
# Expected final version: yes
# Genome coverage: 536.0x
# Sequencing technology: PacBio Sequel
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_022379115.2
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_022379145.2		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	326365182
all	all	all	all	spanned-gaps	176
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	410
all	all	all	all	scaffold-N50	22089475
all	all	all	all	scaffold-L50	7
all	all	all	all	scaffold-N75	18313122
all	all	all	all	scaffold-N90	15603091
all	all	all	all	contig-count	586
all	all	all	all	contig-N50	4164345
all	all	all	all	contig-L50	24
all	all	all	all	total-gap-length	84661
all	all	all	all	molecule-count	14
all	all	all	all	top-level-count	410
all	all	all	all	component-count	410
all	all	all	all	gc-perc	35
Primary Assembly	all	all	all	total-length	326365182
Primary Assembly	all	all	all	ungapped-length	326280521
Primary Assembly	all	all	all	scaffold-count	410
Primary Assembly	all	all	all	scaffold-N50	22089475
Primary Assembly	all	all	all	spanned-gaps	176
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	35
Primary Assembly	all	all	assembled-molecule	total-length	300754500
Primary Assembly	all	all	assembled-molecule	ungapped-length	300669839
Primary Assembly	all	all	assembled-molecule	scaffold-count	14
Primary Assembly	all	all	assembled-molecule	scaffold-N50	22089475
Primary Assembly	all	all	assembled-molecule	spanned-gaps	176
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	34
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	25610682
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	25610682
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	396
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	73102
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	43.5
Primary Assembly	1	Chromosome	all	total-length	19845194
Primary Assembly	1	Chromosome	all	ungapped-length	19843194
Primary Assembly	1	Chromosome	all	scaffold-count	1
Primary Assembly	1	Chromosome	all	scaffold-N50	19845194
Primary Assembly	1	Chromosome	all	spanned-gaps	4
Primary Assembly	1	Chromosome	all	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	gc-perc	33
Primary Assembly	1	Chromosome	assembled-molecule	total-length	19845194
Primary Assembly	1	Chromosome	assembled-molecule	ungapped-length	19843194
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-N50	19845194
Primary Assembly	1	Chromosome	assembled-molecule	spanned-gaps	4
Primary Assembly	1	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	1	Chromosome	assembled-molecule	gc-perc	33
Primary Assembly	1	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	2	Chromosome	all	total-length	24708504
Primary Assembly	2	Chromosome	all	ungapped-length	24700981
Primary Assembly	2	Chromosome	all	scaffold-count	1
Primary Assembly	2	Chromosome	all	scaffold-N50	24708504
Primary Assembly	2	Chromosome	all	spanned-gaps	16
Primary Assembly	2	Chromosome	all	unspanned-gaps	0
Primary Assembly	2	Chromosome	all	gc-perc	33
Primary Assembly	2	Chromosome	assembled-molecule	total-length	24708504
Primary Assembly	2	Chromosome	assembled-molecule	ungapped-length	24700981
