# Assembly Statistics Report
# Assembly name:  HeHo_2.0
# Organism name:  Lichenostomus cassidix (helmeted honeyeater)
# Isolate:  B80296
# Sex:  female
# Taxid:          1497555
# BioSample:      SAMN12287370
# BioProject:     PRJNA554936
# Submitter:      Deakin University
# Date:           2022-02-11
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    VLJF02
# Assembly method: MaSuRCA v. 3.3.3; 3D-DNA v. 2020; JBAT v. 2020
# Expected final version: no
# Reference guided assembly: GCA_008360975.1
# Genome coverage: 255.9x
# Sequencing technology: Illumina NovaSeq 6000; Oxford Nanopore MinION
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_008360975.2
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_008361065.2		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	1102944376
all	all	all	all	spanned-gaps	1333
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	894
all	all	all	all	scaffold-N50	63800663
all	all	all	all	scaffold-L50	6
all	all	all	all	scaffold-N75	20494076
all	all	all	all	scaffold-N90	7775801
all	all	all	all	contig-count	2227
all	all	all	all	contig-N50	6736108
all	all	all	all	contig-L50	39
all	all	all	all	total-gap-length	659700
all	all	all	all	molecule-count	33
all	all	all	all	top-level-count	894
all	all	all	all	component-count	894
all	all	all	all	gc-perc	42.5
Primary Assembly	all	all	all	total-length	1102944376
Primary Assembly	all	all	all	ungapped-length	1102284676
Primary Assembly	all	all	all	scaffold-count	894
Primary Assembly	all	all	all	scaffold-N50	63800663
Primary Assembly	all	all	all	spanned-gaps	1333
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	42.5
Primary Assembly	all	all	assembled-molecule	total-length	1044244166
Primary Assembly	all	all	assembled-molecule	ungapped-length	1043881866
Primary Assembly	all	all	assembled-molecule	scaffold-count	33
Primary Assembly	all	all	assembled-molecule	scaffold-N50	71396960
Primary Assembly	all	all	assembled-molecule	spanned-gaps	735
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	42
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	58700210
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	58402810
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	861
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	1921664
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	598
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	50
Primary Assembly	1	Chromosome	all	total-length	115342091
Primary Assembly	1	Chromosome	all	ungapped-length	115317391
Primary Assembly	1	Chromosome	all	scaffold-count	1
Primary Assembly	1	Chromosome	all	scaffold-N50	115342091
Primary Assembly	1	Chromosome	all	spanned-gaps	51
Primary Assembly	1	Chromosome	all	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	gc-perc	40
Primary Assembly	1	Chromosome	assembled-molecule	total-length	115342091
Primary Assembly	1	Chromosome	assembled-molecule	ungapped-length	115317391
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-N50	115342091
Primary Assembly	1	Chromosome	assembled-molecule	spanned-gaps	51
Primary Assembly	1	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	1	Chromosome	assembled-molecule	gc-perc	40
Primary Assembly	1	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	1Aa	Chromosome	all	total-length	57696846
Primary Assembly	1Aa	Chromosome	all	ungapped-length	57685346
Primary Assembly	1Aa	Chromosome	all	scaffold-count	1
Primary Assembly	1Aa	Chromosome	all	scaffold-N50	57696846
Primary Assembly	1Aa	Chromosome	all	spanned-gaps	23
Primary Assembly	1Aa	Chromosome	all	unspanned-gaps	0
Primary Assembly	1Aa	Chromosome	all	gc-perc	40
Primary Assembly	1Aa	Chromosome	assembled-molecule	total-length	57696846
Primary Assembly	1Aa	Chromosome	assembled-molecule	ungapped-length	57685346
Primary Assembly	1Aa	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	1Aa	Chromosome	assembled-molecule	scaffold-N50	57696846
Primary Assembly	1Aa	Chromosome	assembled-molecule	spanned-gaps	23
Primary Assembly	1Aa	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	1Aa	Chromosome	assembled-molecule	gc-perc	40
Primary Assembly	1Aa	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1Aa	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1Aa	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	1Aa	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	1Aa	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	1Aa	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	1Ab	Chromosome	all	total-length	11651593
Primary Assembly	1Ab	Chromosome	all	ungapped-length	11651093
Primary Assembly	1Ab	Chromosome	all	scaffold-count	1
Primary Assembly	1Ab	Chromosome	all	scaffold-N50	11651593
Primary Assembly	1Ab	Chromosome	all	spanned-gaps	1
Primary Assembly	1Ab	Chromosome	all	unspanned-gaps	0
Primary Assembly	1Ab	Chromosome	all	gc-perc	42.5
Primary Assembly	1Ab	Chromosome	assembled-molecule	total-length	11651593
Primary Assembly	1Ab	Chromosome	assembled-molecule	ungapped-length	11651093
Primary Assembly	1Ab	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	1Ab	Chromosome	assembled-molecule	scaffold-N50	11651593
Primary Assembly	1Ab	Chromosome	assembled-molecule	spanned-gaps	1
Primary Assembly	1Ab	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	1Ab	Chromosome	assembled-molecule	gc-perc	42.5
Primary Assembly	1Ab	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1Ab	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1Ab	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	1Ab	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	1Ab	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	1Ab	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	2	Chromosome	all	total-length	152677470
Primary Assembly	2	Chromosome	all	ungapped-length	152652070
Primary Assembly	2	Chromosome	all	scaffold-count	1
Primary Assembly	2	Chromosome	all	scaffold-N50	152677470
Primary Assembly	2	Chromosome	all	spanned-gaps	54
Primary Assembly	2	Chromosome	all	unspanned-gaps	0
Primary Assembly	2	Chromosome	all	gc-perc	39.5
Primary Assembly	2	Chromosome	assembled-molecule	total-length	152677470
Primary Assembly	2	Chromosome	assembled-molecule	ungapped-length	152652070
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-N50	152677470
Primary Assembly	2	Chromosome	assembled-molecule	spanned-gaps	54
Primary Assembly	2	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	2	Chromosome	assembled-molecule	gc-perc	39.5
Primary Assembly	2	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	3	Chromosome	all	total-length	113346084
