# Assembly Statistics Report
# Assembly name:  iyMimDahl1.3
# Organism name:  Mimumesa dahlbomi (bees)
# Taxid:          2495085
# BioSample:      SAMEA8603165
# BioProject:     PRJEB48054
# Submitter:      WELLCOME SANGER INSTITUTE
# Date:           2022-10-25
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    CAKJTC03
# Assembly method: various
# Genome coverage: 52x
# Sequencing technology: PacBio,Illumina,Arima
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_917499265.3
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_917499264.3		Primary Assembly
## GCA_917499266.3		non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	297322604
all	all	all	all	spanned-gaps	50
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	363
all	all	all	all	scaffold-N50	13287732
all	all	all	all	scaffold-L50	9
all	all	all	all	scaffold-N75	10751493
all	all	all	all	scaffold-N90	1528895
all	all	all	all	contig-count	413
all	all	all	all	contig-N50	9606734
all	all	all	all	contig-L50	11
all	all	all	all	total-gap-length	14200
all	all	all	all	molecule-count	19
all	all	all	all	top-level-count	363
all	all	all	all	component-count	363
all	all	all	all	gc-perc	40.5
Primary Assembly	all	all	all	total-length	297301941
Primary Assembly	all	all	all	ungapped-length	297287741
Primary Assembly	all	all	all	scaffold-count	362
Primary Assembly	all	all	all	scaffold-N50	13287732
Primary Assembly	all	all	all	spanned-gaps	50
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	40.5
Primary Assembly	all	all	assembled-molecule	total-length	258744608
Primary Assembly	all	all	assembled-molecule	ungapped-length	258733408
Primary Assembly	all	all	assembled-molecule	scaffold-count	18
Primary Assembly	all	all	assembled-molecule	scaffold-N50	14604268
Primary Assembly	all	all	assembled-molecule	spanned-gaps	44
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	40
Primary Assembly	all	all	unlocalized-scaffold	total-length	8451960
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	8450960
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	24
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	1693217
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	2
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	gc-perc	41.5
Primary Assembly	na	na	unplaced-scaffold	total-length	30105373
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	30103373
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	320
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	166833
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	4
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	45.5
Primary Assembly	1	Chromosome	all	total-length	26539434
Primary Assembly	1	Chromosome	all	ungapped-length	26539234
Primary Assembly	1	Chromosome	all	scaffold-count	1
Primary Assembly	1	Chromosome	all	scaffold-N50	26539434
Primary Assembly	1	Chromosome	all	spanned-gaps	1
Primary Assembly	1	Chromosome	all	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	gc-perc	40
Primary Assembly	1	Chromosome	assembled-molecule	total-length	26539434
Primary Assembly	1	Chromosome	assembled-molecule	ungapped-length	26539234
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-N50	26539434
Primary Assembly	1	Chromosome	assembled-molecule	spanned-gaps	1
Primary Assembly	1	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	1	Chromosome	assembled-molecule	gc-perc	40
Primary Assembly	1	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	2	Chromosome	all	total-length	20961462
Primary Assembly	2	Chromosome	all	ungapped-length	20960662
Primary Assembly	2	Chromosome	all	scaffold-count	2
Primary Assembly	2	Chromosome	all	scaffold-N50	19976634
