# Assembly Statistics Report
# Assembly name:  ARS-OSU_banteng_1.0
# Organism name:  Bos javanicus (banteng)
# Infraspecific name:  breed=banteng
# Sex:  male
# Taxid:          9906
# BioSample:      SAMN35998690
# BioProject:     PRJNA988033
# Submitter:      Ruminant T2T Consortium
# Date:           2023-10-11
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JAVLEU01
# Assembly method: Canu v. 2.1.1
# Expected final version: yes
# Reference guided assembly: GCF_002263795.1
# Genome coverage: 60.0x
# Sequencing technology: Oxford Nanopore
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_032452875.1
# RefSeq assembly accession: GCF_032452875.1
# RefSeq assembly and GenBank assemblies identical: no
# Reporting on RefSeq assembly.
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_032452885.1	GCF_032452885.1	Primary Assembly
## 	GCF_034119965.1	non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	2972795249
all	all	all	all	spanned-gaps	84
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	1517
all	all	all	all	scaffold-N50	87549292
all	all	all	all	scaffold-L50	13
all	all	all	all	scaffold-N75	62229746
all	all	all	all	scaffold-N90	1138329
all	all	all	all	contig-count	1601
all	all	all	all	contig-N50	47146240
all	all	all	all	contig-L50	20
all	all	all	all	total-gap-length	8400
all	all	all	all	molecule-count	31
all	all	all	all	top-level-count	1517
all	all	all	all	component-count	1517
all	all	all	all	gc-perc	43
Primary Assembly	all	all	all	total-length	2972795249
Primary Assembly	all	all	all	ungapped-length	2972786849
Primary Assembly	all	all	all	scaffold-count	1517
Primary Assembly	all	all	all	scaffold-N50	87549292
Primary Assembly	all	all	all	spanned-gaps	84
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	43
Primary Assembly	all	all	assembled-molecule	total-length	2643484168
Primary Assembly	all	all	assembled-molecule	ungapped-length	2643475768
Primary Assembly	all	all	assembled-molecule	scaffold-count	31
Primary Assembly	all	all	assembled-molecule	scaffold-N50	104158130
Primary Assembly	all	all	assembled-molecule	spanned-gaps	84
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	42
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	329311081
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	329311081
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	1486
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	320195
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	50.5
Primary Assembly	1	Chromosome	all	total-length	157539948
Primary Assembly	1	Chromosome	all	ungapped-length	157539748
Primary Assembly	1	Chromosome	all	scaffold-count	1
Primary Assembly	1	Chromosome	all	scaffold-N50	157539948
Primary Assembly	1	Chromosome	all	spanned-gaps	2
Primary Assembly	1	Chromosome	all	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	gc-perc	40
Primary Assembly	1	Chromosome	assembled-molecule	total-length	157539948
Primary Assembly	1	Chromosome	assembled-molecule	ungapped-length	157539748
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-N50	157539948
Primary Assembly	1	Chromosome	assembled-molecule	spanned-gaps	2
Primary Assembly	1	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	1	Chromosome	assembled-molecule	gc-perc	40
Primary Assembly	1	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	2	Chromosome	all	total-length	136293846
Primary Assembly	2	Chromosome	all	ungapped-length	136293846
Primary Assembly	2	Chromosome	all	scaffold-count	1
Primary Assembly	2	Chromosome	all	scaffold-N50	136293846
Primary Assembly	2	Chromosome	all	spanned-gaps	0
Primary Assembly	2	Chromosome	all	unspanned-gaps	0
Primary Assembly	2	Chromosome	all	gc-perc	40.5
Primary Assembly	2	Chromosome	assembled-molecule	total-length	136293846
Primary Assembly	2	Chromosome	assembled-molecule	ungapped-length	136293846
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-N50	136293846
Primary Assembly	2	Chromosome	assembled-molecule	spanned-gaps	0
Primary Assembly	2	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	2	Chromosome	assembled-molecule	gc-perc	40.5
Primary Assembly	2	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	3	Chromosome	all	total-length	121106852
Primary Assembly	3	Chromosome	all	ungapped-length	121106652
Primary Assembly	3	Chromosome	all	scaffold-count	1
Primary Assembly	3	Chromosome	all	scaffold-N50	121106852
Primary Assembly	3	Chromosome	all	spanned-gaps	2
Primary Assembly	3	Chromosome	all	unspanned-gaps	0
Primary Assembly	3	Chromosome	all	gc-perc	42
Primary Assembly	3	Chromosome	assembled-molecule	total-length	121106852
Primary Assembly	3	Chromosome	assembled-molecule	ungapped-length	121106652
Primary Assembly	3	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	3	Chromosome	assembled-molecule	scaffold-N50	121106852
