# Assembly Statistics Report
# Assembly name:  HMol_V3
# Organism name:  Hylobates moloch (silvery gibbon)
# Isolate:  HMO894
# Sex:  male
# Taxid:          81572
# BioSample:      SAMN12851060
# BioProject:     PRJNA575281
# Submitter:      University of California, Santa Cruz
# Date:           2021-11-10
# Assembly type:  haploid
# Release type:   major
# Assembly level: Scaffold
# Genome representation: full
# WGS project:    WKKJ03
# Assembly method: Supernova v. 2.0.1; YAGCloser v. 1.0; HiRise v. 2.1.6; Pilon v. 1.22
# Expected final version: yes
# Genome coverage: 70.0x
# Sequencing technology: Illumina; Oxford Nanopore; PacBio; Chicago; HiC; 10X Chromium
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_009828535.3
# RefSeq assembly accession: GCF_009828535.3
# RefSeq assembly and GenBank assemblies identical: no
# Reporting on RefSeq assembly.
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_009828545.3	GCF_009828545.3	Primary Assembly
## GCA_009828555.3		non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	2848339960
all	all	all	all	spanned-gaps	25102
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	18400
all	all	all	all	scaffold-N50	125196221
all	all	all	all	scaffold-L50	9
all	all	all	all	scaffold-N75	85660803
all	all	all	all	scaffold-N90	48093621
all	all	all	all	contig-count	43502
all	all	all	all	contig-N50	265822
all	all	all	all	contig-L50	2986
all	all	all	all	total-gap-length	62352870
all	all	all	all	molecule-count	1
all	all	all	all	top-level-count	18400
all	all	all	all	component-count	18400
all	all	all	all	gc-perc	41
Primary Assembly	all	all	all	total-length	2848323459
Primary Assembly	all	all	all	ungapped-length	2785970589
Primary Assembly	all	all	all	scaffold-count	18399
Primary Assembly	all	all	all	scaffold-N50	125196221
Primary Assembly	all	all	all	spanned-gaps	25102
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	41
Primary Assembly	all	all	assembled-molecule	total-length	0
Primary Assembly	all	all	assembled-molecule	ungapped-length	0
Primary Assembly	all	all	assembled-molecule	scaffold-count	0
Primary Assembly	all	all	assembled-molecule	scaffold-N50	0
Primary Assembly	all	all	assembled-molecule	spanned-gaps	0
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	2848323459
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	2785970589
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	18399
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	125196221
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	25102
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	41
non-nuclear	all	all	all	total-length	16501
non-nuclear	all	all	all	ungapped-length	16501
non-nuclear	all	all	all	scaffold-count	1
non-nuclear	all	all	all	scaffold-N50	16501
non-nuclear	all	all	all	spanned-gaps	0
non-nuclear	all	all	all	unspanned-gaps	0
non-nuclear	all	all	all	gc-perc	45.5
non-nuclear	all	all	assembled-molecule	total-length	16501
non-nuclear	all	all	assembled-molecule	ungapped-length	16501
non-nuclear	all	all	assembled-molecule	scaffold-count	1
