# Assembly Statistics Report
# Assembly name:  iqSchAmer2.1
# Organism name:  Schistocerca americana (American grasshopper)
# Isolate:  TAMUIC-IGC-003095
# Sex:  female
# Taxid:          7009
# BioSample:      SAMN18214781
# BioProject:     PRJNA772266
# Submitter:      Behavioral Plasticity Research Institute (BPRI)
# Date:           2022-02-14
# Assembly type:  haploid
# Release type:   minor
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JAJNAC01
# Assembly method: HiFiASM v. 0.15.4; 3D-DNA v. 210817; Juicebox Assembly Tools v. 1.11
# Expected final version: yes
# Genome coverage: 34.0x
# Sequencing technology: PacBio Sequel; Illumina NovaSeq
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_021461395.2
# RefSeq assembly accession: GCF_021461395.2
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_021461405.1	GCF_021461405.1	Primary Assembly
## GCA_022376625.1	GCF_022376625.1	non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	8990369808
all	all	all	all	spanned-gaps	497
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	1751
all	all	all	all	scaffold-N50	854857182
all	all	all	all	scaffold-L50	5
all	all	all	all	scaffold-N75	639739468
all	all	all	all	scaffold-N90	242487659
all	all	all	all	contig-count	2248
all	all	all	all	contig-N50	49627568
all	all	all	all	contig-L50	56
all	all	all	all	total-gap-length	248500
all	all	all	all	molecule-count	13
all	all	all	all	top-level-count	1751
all	all	all	all	component-count	1751
all	all	all	all	gc-perc	42.5
Primary Assembly	all	all	all	total-length	8990354198
Primary Assembly	all	all	all	ungapped-length	8990105698
Primary Assembly	all	all	all	scaffold-count	1750
Primary Assembly	all	all	all	scaffold-N50	854857182
Primary Assembly	all	all	all	spanned-gaps	497
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	42.5
Primary Assembly	all	all	assembled-molecule	total-length	8514736557
Primary Assembly	all	all	assembled-molecule	ungapped-length	8514527057
Primary Assembly	all	all	assembled-molecule	scaffold-count	12
Primary Assembly	all	all	assembled-molecule	scaffold-N50	994864580
Primary Assembly	all	all	assembled-molecule	spanned-gaps	419
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	42.5
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	475617641
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	475578641
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	1738
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	3092073
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	78
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	44.5
Primary Assembly	1	Chromosome	all	total-length	1268505426
Primary Assembly	1	Chromosome	all	ungapped-length	1268483926
Primary Assembly	1	Chromosome	all	scaffold-count	1
Primary Assembly	1	Chromosome	all	scaffold-N50	1268505426
Primary Assembly	1	Chromosome	all	spanned-gaps	43
