# Assembly Statistics Report
# Assembly name:  ASM1243209v1
# Organism name:  Onychostoma macrolepis (bony fishes)
# Isolate:  SWU-2019
# Sex:  female
# Taxid:          369639
# BioSample:      SAMN14163390
# BioProject:     PRJNA608076
# Submitter:      SOUTHWEST UNIVERSITY
# Date:           2020-04-17
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JAAMOB01
# Assembly method: WTDBG v. 1.2.8
# Expected final version: yes
# Genome coverage: 93.85x
# Sequencing technology: Oxford Nanopore PromethION; Illumina HiSeq; Hi-C; Bionano optical mapping
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_012432095.1
# RefSeq assembly accession: GCF_012432095.1
# RefSeq assembly and GenBank assemblies identical: no
# Reporting on RefSeq assembly.
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_012432245.1	GCF_012432245.1	Primary Assembly
## 	GCF_030549355.1	non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	886569841
all	all	all	all	spanned-gaps	617
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	352
all	all	all	all	scaffold-N50	34067727
all	all	all	all	scaffold-L50	11
all	all	all	all	scaffold-N75	31708312
all	all	all	all	scaffold-N90	29382869
all	all	all	all	contig-count	969
all	all	all	all	contig-N50	10809623
all	all	all	all	contig-L50	24
all	all	all	all	total-gap-length	3343332
all	all	all	all	molecule-count	25
all	all	all	all	top-level-count	352
all	all	all	all	component-count	352
all	all	all	all	gc-perc	37
Primary Assembly	all	all	all	total-length	886569841
Primary Assembly	all	all	all	ungapped-length	883226509
Primary Assembly	all	all	all	scaffold-count	352
Primary Assembly	all	all	all	scaffold-N50	34067727
Primary Assembly	all	all	all	spanned-gaps	617
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	37
Primary Assembly	all	all	assembled-molecule	total-length	881308169
Primary Assembly	all	all	assembled-molecule	ungapped-length	877964837
Primary Assembly	all	all	assembled-molecule	scaffold-count	25
Primary Assembly	all	all	assembled-molecule	scaffold-N50	34067727
Primary Assembly	all	all	assembled-molecule	spanned-gaps	617
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	37
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	5261672
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	5261672
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	327
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	21460
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	41
Primary Assembly	01	Chromosome	all	total-length	47777555
Primary Assembly	01	Chromosome	all	ungapped-length	47479080
Primary Assembly	01	Chromosome	all	scaffold-count	1
Primary Assembly	01	Chromosome	all	scaffold-N50	47777555
Primary Assembly	01	Chromosome	all	spanned-gaps	51
