ID,Total Length (bp)
1093978.0,790322091.0
1912881.0,331994715.0
3035712.0,805281813.0
1628040.0,949470026.0
2049525.0,684506045.0
1917152.0,2566813439.0
2653900.0,757928205.0
2291877.0,1544610695.0
1134467.0,984328742.0
2750724.0,2867906435.0
2703946.0,2534512599.0
1245466.0,432264763.0
1472349.0,157739062.0
2067768.0,1538428043.0
1390362.0,1115236308.0
1620919.0,957853961.0
3043781.0,335313851.0
2043216.0,967940800.0
1323128.0,2901939372.0
1421107.0,1181238711.0
1421124.0,549124366.0
2962468.0,3075538138.0
2038759.0,1161245404.0
1380851.0,543903147.0
1353015.0,1067355155.0
2607531.0,2719136158.0
2505931.0,2472071740.0
2493646.0,1776755686.0
2547956.0,786868874.0
3061061.0,2591266008.0
1699438.0,864048065.0
3043774.0,480995166.0
1200667.0,601029023.0
2171618.0,603547686.0
3043778.0,461935457.0
2723957.0,677083788.0
2584915.0,5404385736.0
1803738.0,1904932765.0
2546066.0,423420936.0
2922058.0,1723492769.0
2172688.0,562136326.0
2605667.0,1653153977.0
2780533.0,740546519.0
1735272.0,1149605642.0
2589376.0,1581861498.0
2201794.0,1531747144.0
2991678.0,502844018.0
1580132.0,344064830.0
2830794.0,1658191953.0
2996714.0,6018017311.0
1548725.0,1759664326.0
3043775.0,520028133.0
1491186.0,829610088.0
2447850.0,1031232840.0
1287507.0,1124466560.0
3019061.0,2226750531.0
1423836.0,1617927582.0
2169460.298245614,1388519561.7719297
,79145615021.0
