# Assembly Statistics Report
# Assembly name:  MedtrA17_4.0
# Organism name:  Medicago truncatula (barrel medic)
# Infraspecific name:  strain=A17
# Taxid:          3880
# BioSample:      SAMN02299339
# BioProject:     PRJNA10791
# Submitter:      Medicago truncatula Consortium
# Date:           2014-06-18
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    APNO01
# Assembly method: AllPaths v. R40324
# Genome coverage: 90.0x
# Sequencing technology: Sanger; 454; Illumina
# Excluded from RefSeq: superseded by newer assembly for species
# GenBank assembly accession: GCA_000219495.2
# RefSeq assembly accession: GCF_000219495.2
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000219505.2	GCF_000219505.2	Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	412800391
all	all	all	all	spanned-gaps	5840
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	2186
all	all	all	all	scaffold-N50	49172423
all	all	all	all	scaffold-L50	4
all	all	all	all	scaffold-N75	43630510
all	all	all	all	scaffold-N90	35275713
all	all	all	all	contig-count	8026
all	all	all	all	contig-N50	339060
all	all	all	all	contig-L50	253
all	all	all	all	total-gap-length	22824735
all	all	all	all	molecule-count	8
all	all	all	all	top-level-count	2186
all	all	all	all	component-count	8026
all	all	all	all	gc-perc	33
Primary Assembly	all	all	all	total-length	412800391
Primary Assembly	all	all	all	ungapped-length	389975656
Primary Assembly	all	all	all	scaffold-count	2186
Primary Assembly	all	all	all	scaffold-N50	49172423
Primary Assembly	all	all	all	spanned-gaps	5840
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	33
Primary Assembly	all	all	assembled-molecule	total-length	384466993
Primary Assembly	all	all	assembled-molecule	ungapped-length	365949224
Primary Assembly	all	all	assembled-molecule	scaffold-count	8
Primary Assembly	all	all	assembled-molecule	scaffold-N50	49172423
Primary Assembly	all	all	assembled-molecule	spanned-gaps	4293
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	33
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	28333398
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	24026432
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	2178
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	44408
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	1547
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	36.5
Primary Assembly	1	Chromosome	all	total-length	52991155
Primary Assembly	1	Chromosome	all	ungapped-length	50275367
Primary Assembly	1	Chromosome	all	scaffold-count	1
Primary Assembly	1	Chromosome	all	scaffold-N50	52991155
Primary Assembly	1	Chromosome	all	spanned-gaps	619
Primary Assembly	1	Chromosome	all	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	gc-perc	33
Primary Assembly	1	Chromosome	assembled-molecule	total-length	52991155
Primary Assembly	1	Chromosome	assembled-molecule	ungapped-length	50275367
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-N50	52991155
Primary Assembly	1	Chromosome	assembled-molecule	spanned-gaps	619
Primary Assembly	1	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	1	Chromosome	assembled-molecule	gc-perc	33
Primary Assembly	1	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	2	Chromosome	all	total-length	45729672
Primary Assembly	2	Chromosome	all	ungapped-length	43689740
Primary Assembly	2	Chromosome	all	scaffold-count	1
Primary Assembly	2	Chromosome	all	scaffold-N50	45729672
Primary Assembly	2	Chromosome	all	spanned-gaps	565
Primary Assembly	2	Chromosome	all	unspanned-gaps	0
Primary Assembly	2	Chromosome	all	gc-perc	33
Primary Assembly	2	Chromosome	assembled-molecule	total-length	45729672
Primary Assembly	2	Chromosome	assembled-molecule	ungapped-length	43689740
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-N50	45729672
Primary Assembly	2	Chromosome	assembled-molecule	spanned-gaps	565
Primary Assembly	2	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	2	Chromosome	assembled-molecule	gc-perc	33
Primary Assembly	2	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	3	Chromosome	all	total-length	55515152
Primary Assembly	3	Chromosome	all	ungapped-length	52386445
Primary Assembly	3	Chromosome	all	scaffold-count	1
Primary Assembly	3	Chromosome	all	scaffold-N50	55515152
Primary Assembly	3	Chromosome	all	spanned-gaps	543
