# Assembly Statistics Report
# Assembly name:  mPhaTri1
# Organism name:  Phataginus tricuspis (Tree pangolin)
# Isolate:  BS60
# Taxid:          358128
# BioSample:      SAMN07678093
# BioProject:     PRJNA399460
# Submitter:      Broad Institute
# Date:           2022-11-10
# Assembly type:  haploid
# Release type:   major
# Assembly level: Scaffold
# Genome representation: full
# WGS project:    SOZM02
# Assembly method: HiRise v. 2.1.1
# Expected final version: no
# Genome coverage: 30.0x
# Sequencing technology: Dovetail Chicago
# GenBank assembly accession: GCA_004765945.2
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_004765955.2		Primary Assembly
## GCA_026123095.1		non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	3031512012
all	all	all	all	spanned-gaps	184827
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	1935248
all	all	all	all	scaffold-N50	9929315
all	all	all	all	scaffold-L50	79
all	all	all	all	scaffold-N75	1400458
all	all	all	all	scaffold-N90	309
all	all	all	all	contig-count	2120075
all	all	all	all	contig-N50	23744
all	all	all	all	contig-L50	30321
all	all	all	all	total-gap-length	18482060
all	all	all	all	molecule-count	1
all	all	all	all	top-level-count	1935248
all	all	all	all	component-count	1935248
all	all	all	all	gc-perc	41
Primary Assembly	all	all	all	total-length	3031505349
Primary Assembly	all	all	all	ungapped-length	3013023289
Primary Assembly	all	all	all	scaffold-count	1935246
Primary Assembly	all	all	all	scaffold-N50	9929315
Primary Assembly	all	all	all	spanned-gaps	184827
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	41
Primary Assembly	all	all	assembled-molecule	total-length	0
Primary Assembly	all	all	assembled-molecule	ungapped-length	0
Primary Assembly	all	all	assembled-molecule	scaffold-count	0
Primary Assembly	all	all	assembled-molecule	scaffold-N50	0
Primary Assembly	all	all	assembled-molecule	spanned-gaps	0
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	3031505349
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	3013023289
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	1935246
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	9929315
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	184827
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	41
non-nuclear	all	all	all	total-length	6663
non-nuclear	all	all	all	ungapped-length	6663
non-nuclear	all	all	all	scaffold-count	2
non-nuclear	all	all	all	scaffold-N50	4135
non-nuclear	all	all	all	spanned-gaps	0
non-nuclear	all	all	all	unspanned-gaps	0
non-nuclear	all	all	all	gc-perc	37
non-nuclear	all	all	assembled-molecule	total-length	0
non-nuclear	all	all	assembled-molecule	ungapped-length	0
non-nuclear	all	all	assembled-molecule	scaffold-count	0
non-nuclear	all	all	assembled-molecule	scaffold-N50	0
