# Assembly Statistics Report
# Assembly name:  ASM98774v1
# Organism name:  Gossypium hirsutum (cotton)
# Infraspecific name:  cultivar=TM-1
# Taxid:          3635
# BioSample:      SAMN03342414
# BioProject:     PRJNA259930
# Submitter:      BGI-shenzhen
# Date:           2015-05-05
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    LBLM01
# Assembly method: SOAPdenovo v. Unknown
# Genome coverage: 200x
# Sequencing technology: Illumina Hiseq 2000
# Excluded from RefSeq: superseded by newer assembly for species
# GenBank assembly accession: GCA_000987745.1
# RefSeq assembly accession: GCF_000987745.1
# RefSeq assembly and GenBank assemblies identical: no
# Reporting on RefSeq assembly.
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000987755.1	GCF_000987755.1	Primary Assembly
## 	GCF_001640005.1	non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	2188311125
all	all	all	all	spanned-gaps	48736
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	9146
all	all	all	all	scaffold-N50	70911690
all	all	all	all	scaffold-L50	12
all	all	all	all	scaffold-N75	47987235
all	all	all	all	scaffold-N90	558740
all	all	all	all	contig-count	57882
all	all	all	all	contig-N50	78260
all	all	all	all	contig-L50	8043
all	all	all	all	total-gap-length	62279879
all	all	all	all	molecule-count	26
all	all	all	all	top-level-count	9146
all	all	all	all	component-count	57882
all	all	all	all	gc-perc	34.5
Primary Assembly	all	all	all	total-length	2188311125
Primary Assembly	all	all	all	ungapped-length	2126031246
Primary Assembly	all	all	all	scaffold-count	9146
Primary Assembly	all	all	all	scaffold-N50	70911690
Primary Assembly	all	all	all	spanned-gaps	48736
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	34.5
Primary Assembly	all	all	assembled-molecule	total-length	1829807557
Primary Assembly	all	all	assembled-molecule	ungapped-length	1778264384
Primary Assembly	all	all	assembled-molecule	scaffold-count	26
Primary Assembly	all	all	assembled-molecule	scaffold-N50	79162310
Primary Assembly	all	all	assembled-molecule	spanned-gaps	40511
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	34.5
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	358503568
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	347766862
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	9120
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	326074
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	8225
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	34.5
Primary Assembly	1	Chromosome	all	total-length	92291805
Primary Assembly	1	Chromosome	all	ungapped-length	88978278
