# Assembly Statistics Report
# Assembly name:  Vigan1.1
# Organism name:  Vigna angularis (adzuki bean)
# Infraspecific name:  cultivar=Jingnong 6
# Taxid:          3914
# BioSample:      SAMN03074979
# BioProject:     PRJNA261643
# Submitter:      Beijing University of Agriculture
# Date:           2015-07-31
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JZJH01
# Assembly method: soapdenovo v. 2.04
# Expected final version: yes
# Genome coverage: 167.67x
# Sequencing technology: Illumina HiSeq 2000
# Excluded from RefSeq: superseded by newer assembly for species
# GenBank assembly accession: GCA_001190045.1
# RefSeq assembly accession: GCF_001190045.1
# RefSeq assembly and GenBank assemblies identical: no
# Reporting on RefSeq assembly.
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_001190055.1	GCF_001190055.1	Primary Assembly
## 	GCF_001684315.1	non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	466744453
all	all	all	all	spanned-gaps	20912
all	all	all	all	unspanned-gaps	352
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	37725
all	all	all	all	scaffold-N50	1292063
all	all	all	all	scaffold-L50	97
all	all	all	all	scaffold-N75	621589
all	all	all	all	scaffold-N90	239461
all	all	all	all	contig-count	58637
all	all	all	all	contig-N50	38355
all	all	all	all	contig-L50	3464
all	all	all	all	total-gap-length	16984597
all	all	all	all	molecule-count	11
all	all	all	all	top-level-count	37373
all	all	all	all	component-count	58637
all	all	all	all	gc-perc	34
Primary Assembly	all	all	all	total-length	466744453
Primary Assembly	all	all	all	ungapped-length	449759856
Primary Assembly	all	all	all	scaffold-count	37725
Primary Assembly	all	all	all	scaffold-N50	1292063
Primary Assembly	all	all	all	spanned-gaps	20912
Primary Assembly	all	all	all	unspanned-gaps	352
Primary Assembly	all	all	all	gc-perc	34
Primary Assembly	all	all	assembled-molecule	total-length	372736198
Primary Assembly	all	all	assembled-molecule	ungapped-length	360838737
Primary Assembly	all	all	assembled-molecule	scaffold-count	363
Primary Assembly	all	all	assembled-molecule	scaffold-N50	1753931
Primary Assembly	all	all	assembled-molecule	spanned-gaps	16352
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	352
Primary Assembly	all	all	assembled-molecule	gc-perc	33.5
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	94008255
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	88921119
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	37362
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	346859
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	4560
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	36
Primary Assembly	1	Chromosome	all	total-length	42234885
Primary Assembly	1	Chromosome	all	ungapped-length	41072165
Primary Assembly	1	Chromosome	all	scaffold-count	27
Primary Assembly	1	Chromosome	all	scaffold-N50	2094324
Primary Assembly	1	Chromosome	all	spanned-gaps	1871
Primary Assembly	1	Chromosome	all	unspanned-gaps	26
Primary Assembly	1	Chromosome	all	gc-perc	33
Primary Assembly	1	Chromosome	assembled-molecule	total-length	42234885
Primary Assembly	1	Chromosome	assembled-molecule	ungapped-length	41072165
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-count	27
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-N50	2094324
Primary Assembly	1	Chromosome	assembled-molecule	spanned-gaps	1871
Primary Assembly	1	Chromosome	assembled-molecule	unspanned-gaps	26
Primary Assembly	1	Chromosome	assembled-molecule	gc-perc	33
Primary Assembly	1	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	2	Chromosome	all	total-length	35625406
Primary Assembly	2	Chromosome	all	ungapped-length	34505049
Primary Assembly	2	Chromosome	all	scaffold-count	36
Primary Assembly	2	Chromosome	all	scaffold-N50	1653963
Primary Assembly	2	Chromosome	all	spanned-gaps	1565
Primary Assembly	2	Chromosome	all	unspanned-gaps	35
Primary Assembly	2	Chromosome	all	gc-perc	33
Primary Assembly	2	Chromosome	assembled-molecule	total-length	35625406
Primary Assembly	2	Chromosome	assembled-molecule	ungapped-length	34505049
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-count	36
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-N50	1653963
Primary Assembly	2	Chromosome	assembled-molecule	spanned-gaps	1565
Primary Assembly	2	Chromosome	assembled-molecule	unspanned-gaps	35
Primary Assembly	2	Chromosome	assembled-molecule	gc-perc	33
Primary Assembly	2	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	3	Chromosome	all	total-length	41204908
Primary Assembly	3	Chromosome	all	ungapped-length	39755853
Primary Assembly	3	Chromosome	all	scaffold-count	41
Primary Assembly	3	Chromosome	all	scaffold-N50	2196185
Primary Assembly	3	Chromosome	all	spanned-gaps	1874
Primary Assembly	3	Chromosome	all	unspanned-gaps	40
Primary Assembly	3	Chromosome	all	gc-perc	33.5
Primary Assembly	3	Chromosome	assembled-molecule	total-length	41204908
Primary Assembly	3	Chromosome	assembled-molecule	ungapped-length	39755853
Primary Assembly	3	Chromosome	assembled-molecule	scaffold-count	41
Primary Assembly	3	Chromosome	assembled-molecule	scaffold-N50	2196185
Primary Assembly	3	Chromosome	assembled-molecule	spanned-gaps	1874
Primary Assembly	3	Chromosome	assembled-molecule	unspanned-gaps	40
Primary Assembly	3	Chromosome	assembled-molecule	gc-perc	33.5
Primary Assembly	3	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	4	Chromosome	all	total-length	34671004
Primary Assembly	4	Chromosome	all	ungapped-length	33666083
Primary Assembly	4	Chromosome	all	scaffold-count	27
Primary Assembly	4	Chromosome	all	scaffold-N50	2028739
Primary Assembly	4	Chromosome	all	spanned-gaps	1456
Primary Assembly	4	Chromosome	all	unspanned-gaps	26
Primary Assembly	4	Chromosome	all	gc-perc	33.5
Primary Assembly	4	Chromosome	assembled-molecule	total-length	34671004
Primary Assembly	4	Chromosome	assembled-molecule	ungapped-length	33666083
Primary Assembly	4	Chromosome	assembled-molecule	scaffold-count	27
Primary Assembly	4	Chromosome	assembled-molecule	scaffold-N50	2028739
Primary Assembly	4	Chromosome	assembled-molecule	spanned-gaps	1456
Primary Assembly	4	Chromosome	assembled-molecule	unspanned-gaps	26
Primary Assembly	4	Chromosome	assembled-molecule	gc-perc	33.5
Primary Assembly	4	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	5	Chromosome	all	total-length	30687117
Primary Assembly	5	Chromosome	all	ungapped-length	29517596
Primary Assembly	5	Chromosome	all	scaffold-count	45
Primary Assembly	5	Chromosome	all	scaffold-N50	1151273
Primary Assembly	5	Chromosome	all	spanned-gaps	1501
Primary Assembly	5	Chromosome	all	unspanned-gaps	44
Primary Assembly	5	Chromosome	all	gc-perc	34
Primary Assembly	5	Chromosome	assembled-molecule	total-length	30687117
Primary Assembly	5	Chromosome	assembled-molecule	ungapped-length	29517596
Primary Assembly	5	Chromosome	assembled-molecule	scaffold-count	45
Primary Assembly	5	Chromosome	assembled-molecule	scaffold-N50	1151273
Primary Assembly	5	Chromosome	assembled-molecule	spanned-gaps	1501
Primary Assembly	5	Chromosome	assembled-molecule	unspanned-gaps	44
Primary Assembly	5	Chromosome	assembled-molecule	gc-perc	34
Primary Assembly	5	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	5	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	5	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	5	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	5	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	5	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	6	Chromosome	all	total-length	19356003
Primary Assembly	6	Chromosome	all	ungapped-length	18737987
Primary Assembly	6	Chromosome	all	scaffold-count	19
Primary Assembly	6	Chromosome	all	scaffold-N50	1545030
Primary Assembly	6	Chromosome	all	spanned-gaps	911
Primary Assembly	6	Chromosome	all	unspanned-gaps	18
Primary Assembly	6	Chromosome	all	gc-perc	33.5
Primary Assembly	6	Chromosome	assembled-molecule	total-length	19356003
Primary Assembly	6	Chromosome	assembled-molecule	ungapped-length	18737987
Primary Assembly	6	Chromosome	assembled-molecule	scaffold-count	19
Primary Assembly	6	Chromosome	assembled-molecule	scaffold-N50	1545030
Primary Assembly	6	Chromosome	assembled-molecule	spanned-gaps	911
Primary Assembly	6	Chromosome	assembled-molecule	unspanned-gaps	18
Primary Assembly	6	Chromosome	assembled-molecule	gc-perc	33.5
Primary Assembly	6	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	6	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	6	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	6	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	6	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	6	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	7	Chromosome	all	total-length	39404547
Primary Assembly	7	Chromosome	all	ungapped-length	38120515
Primary Assembly	7	Chromosome	all	scaffold-count	36
Primary Assembly	7	Chromosome	all	scaffold-N50	1604230
Primary Assembly	7	Chromosome	all	spanned-gaps	1658
Primary Assembly	7	Chromosome	all	unspanned-gaps	35
Primary Assembly	7	Chromosome	all	gc-perc	34
Primary Assembly	7	Chromosome	assembled-molecule	total-length	39404547
Primary Assembly	7	Chromosome	assembled-molecule	ungapped-length	38120515
Primary Assembly	7	Chromosome	assembled-molecule	scaffold-count	36
Primary Assembly	7	Chromosome	assembled-molecule	scaffold-N50	1604230
Primary Assembly	7	Chromosome	assembled-molecule	spanned-gaps	1658
Primary Assembly	7	Chromosome	assembled-molecule	unspanned-gaps	35
Primary Assembly	7	Chromosome	assembled-molecule	gc-perc	34
Primary Assembly	7	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	7	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	7	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	7	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	7	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	7	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	8	Chromosome	all	total-length	30791815
Primary Assembly	8	Chromosome	all	ungapped-length	29932945
Primary Assembly	8	Chromosome	all	scaffold-count	31
Primary Assembly	8	Chromosome	all	scaffold-N50	1486451
Primary Assembly	8	Chromosome	all	spanned-gaps	1221
Primary Assembly	8	Chromosome	all	unspanned-gaps	30
Primary Assembly	8	Chromosome	all	gc-perc	34
Primary Assembly	8	Chromosome	assembled-molecule	total-length	30791815
Primary Assembly	8	Chromosome	assembled-molecule	ungapped-length	29932945
Primary Assembly	8	Chromosome	assembled-molecule	scaffold-count	31
Primary Assembly	8	Chromosome	assembled-molecule	scaffold-N50	1486451
Primary Assembly	8	Chromosome	assembled-molecule	spanned-gaps	1221
Primary Assembly	8	Chromosome	assembled-molecule	unspanned-gaps	30
Primary Assembly	8	Chromosome	assembled-molecule	gc-perc	34
Primary Assembly	8	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	8	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	8	Chromosome	unlocalized-scaffold	scaffold-count	0
