# Assembly Statistics Report
# Assembly name:  Salix_exigua_SE967M
# Organism name:  Salix exigua (coyote willow)
# Isolate:  SE967M
# Taxid:          77062
# BioSample:      SAMN37148873
# BioProject:     PRJNA1009227
# Submitter:      Texas Tech University
# Date:           2023-10-06
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JAVHLS01
# Assembly method: Flye v. 2.9-b1778; Juicer v. 1.5
# Expected final version: yes
# Genome coverage: 122.5x
# Sequencing technology: Oxford Nanopore MinION
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_032356905.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_032356945.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	339212153
all	all	all	all	spanned-gaps	2468
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	89
all	all	all	all	scaffold-N50	17008474
all	all	all	all	scaffold-L50	8
all	all	all	all	scaffold-N75	14070832
all	all	all	all	scaffold-N90	13525599
all	all	all	all	contig-count	2557
all	all	all	all	contig-N50	319038
all	all	all	all	contig-L50	299
all	all	all	all	total-gap-length	1234000
all	all	all	all	molecule-count	19
all	all	all	all	top-level-count	89
all	all	all	all	component-count	89
all	all	all	all	gc-perc	34.5
Primary Assembly	all	all	all	total-length	339212153
Primary Assembly	all	all	all	ungapped-length	337978153
Primary Assembly	all	all	all	scaffold-count	89
Primary Assembly	all	all	all	scaffold-N50	17008474
Primary Assembly	all	all	all	spanned-gaps	2468
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	34.5
Primary Assembly	all	all	assembled-molecule	total-length	332044886
Primary Assembly	all	all	assembled-molecule	ungapped-length	330820886
Primary Assembly	all	all	assembled-molecule	scaffold-count	19
Primary Assembly	all	all	assembled-molecule	scaffold-N50	17008474
Primary Assembly	all	all	assembled-molecule	spanned-gaps	2448
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	34
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	7167267
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	7157267
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	70
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	96525
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	20
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	37
