# Assembly Statistics Report
# Assembly name:  HKBU_Pec_v1
# Organism name:  Paraescarpia echinospica (tube worms)
# Isolate:  pe4
# Taxid:          2080241
# BioSample:      SAMN14603949
# BioProject:     PRJNA625616
# Submitter:      Hong Kong University of Science and Technology
# Date:           2021-09-21
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JAHLWY01
# Assembly method: MaSuRCA v. 1
# Expected final version: yes
# Genome coverage: 50.0x
# Sequencing technology: Illumina NovaSeq; Oxford Nanopore MinION; Hi-C Seq
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_020002185.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_020002195.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	1101720295
all	all	all	all	spanned-gaps	6358
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	6461
all	all	all	all	scaffold-N50	69127315
all	all	all	all	scaffold-L50	8
all	all	all	all	scaffold-N75	59955324
all	all	all	all	scaffold-N90	204733
all	all	all	all	contig-count	12819
all	all	all	all	contig-N50	237234
all	all	all	all	contig-L50	1239
all	all	all	all	total-gap-length	6358000
all	all	all	all	molecule-count	14
all	all	all	all	top-level-count	6461
all	all	all	all	component-count	6461
all	all	all	all	gc-perc	41
Primary Assembly	all	all	all	total-length	1101720295
Primary Assembly	all	all	all	ungapped-length	1095362295
Primary Assembly	all	all	all	scaffold-count	6461
Primary Assembly	all	all	all	scaffold-N50	69127315
Primary Assembly	all	all	all	spanned-gaps	6358
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	41
Primary Assembly	all	all	assembled-molecule	total-length	982394153
Primary Assembly	all	all	assembled-molecule	ungapped-length	976085153
Primary Assembly	all	all	assembled-molecule	scaffold-count	14
Primary Assembly	all	all	assembled-molecule	scaffold-N50	71406097
Primary Assembly	all	all	assembled-molecule	spanned-gaps	6309
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	41
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	119326142
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	119277142
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	6447
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	36985
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	49
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	41.5
