# Assembly Statistics Report
# Assembly name:  ZJU_Mman_1.0
# Organism name:  Microplitis manilae (wasps, ants & bees)
# Isolate:  Hainan
# Taxid:          1427173
# BioSample:      SAMN30473660
# BioProject:     PRJNA872950
# Submitter:      Zhejiang University
# Date:           2023-04-13
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JAPFQK01
# Assembly method: NextDenovo v. 2.5.0
# Expected final version: yes
# Genome coverage: 269.0x
# Sequencing technology: Oxford Nanopore PromethION
# GenBank assembly accession: GCA_029641195.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_029641955.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	282852855
all	all	all	all	spanned-gaps	365
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	363
all	all	all	all	scaffold-N50	25234505
all	all	all	all	scaffold-L50	6
all	all	all	all	scaffold-N75	21019465
all	all	all	all	scaffold-N90	19850443
all	all	all	all	contig-count	728
all	all	all	all	contig-N50	1792000
all	all	all	all	contig-L50	51
all	all	all	all	total-gap-length	182500
all	all	all	all	molecule-count	11
all	all	all	all	top-level-count	363
all	all	all	all	component-count	363
all	all	all	all	gc-perc	31.5
Primary Assembly	all	all	all	total-length	282852855
Primary Assembly	all	all	all	ungapped-length	282670355
Primary Assembly	all	all	all	scaffold-count	363
Primary Assembly	all	all	all	scaffold-N50	25234505
Primary Assembly	all	all	all	spanned-gaps	365
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	31.5
Primary Assembly	all	all	assembled-molecule	total-length	268167060
Primary Assembly	all	all	assembled-molecule	ungapped-length	267987060
Primary Assembly	all	all	assembled-molecule	scaffold-count	11
Primary Assembly	all	all	assembled-molecule	scaffold-N50	26139893
Primary Assembly	all	all	assembled-molecule	spanned-gaps	360
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	31
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	14685795
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	14683295
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	352
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	76830
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	5
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
